School_ID;Student_ID;Attendance;Tutoring_Sessions;Teacher_Quality;School_Type;Distance_from_Home;Previous_Scores;Exam_Score
50;50;77;2;High;Public;Near;57;63
51;51;71;1;Low;Public;Moderate;65;64
52;52;68;0;Medium;Public;Near;72;64
53;53;86;2;Medium;Public;Near;63;67
54;54;77;0;Medium;Public;Near;96;67
55;55;67;2;High;Private;Far;51;66
56;56;88;1;High;Private;Moderate;79;72
57;57;83;1;High;Public;Near;89;65
58;58;94;1;Medium;Public;Near;87;71
59;59;65;2;High;Public;Near;82;66
60;60;91;0;Medium;Private;Moderate;71;68
61;61;87;1;Medium;Public;Near;96;70
62;62;65;0;Medium;Public;Moderate;66;62
63;63;88;2;High;Private;Far;88;68
64;64;78;2;Medium;Public;Moderate;96;67
65;65;98;0;High;Private;Near;56;71
66;66;66;0;Medium;Public;Near;97;68
67;67;86;1;Medium;Public;Near;89;69
68;68;75;3;High;Private;Moderate;81;70
69;69;98;1;High;Public;Moderate;69;69
70;70;73;1;Medium;Public;Near;95;65
71;71;98;3;Medium;Public;Near;52;70
72;72;96;1;Medium;Public;Moderate;72;71
73;73;71;1;Low;Public;Near;88;65
74;74;92;2;Medium;Public;Near;91;72
75;75;100;0;High;Private;Moderate;60;69
76;76;70;1;Medium;Public;Near;52;66
77;77;77;4;Medium;Private;Moderate;90;68
78;78;81;0;Medium;Public;Moderate;71;65
79;79;72;1;Medium;Public;Moderate;57;64
80;80;61;1;Medium;Public;Near;54;60
81;81;69;1;Medium;Public;Near;82;65
82;82;71;1;Low;Public;Near;79;66
83;83;78;5;High;Public;Near;93;74
84;84;67;2;Medium;Private;Far;52;62
85;85;95;2;Medium;Public;Moderate;93;70
86;86;88;0;Medium;Public;Near;94;69
87;87;63;3;High;Private;Far;72;67
88;88;86;2;Medium;Public;Moderate;54;64
89;89;86;3;Medium;Public;Near;97;71
90;90;98;0;Medium;Public;Near;54;68
91;91;60;0;High;Public;Near;80;64
92;92;70;1;Low;Private;Far;75;63
93;93;97;0;Medium;Private;Near;92;71
94;94;97;0;Medium;Public;Moderate;75;69
95;95;89;3;Medium;Private;Near;73;100
96;96;91;3;Medium;Public;Moderate;94;68
97;97;64;1;Medium;Public;Near;98;62
98;98;81;2;Medium;Public;Far;77;68
99;99;69;2;Medium;Private;Far;73;66
100;100;67;0;Medium;Public;Near;92;64
101;101;92;2;High;Public;Moderate;92;67
102;102;65;1;High;Public;Moderate;66;65
103;103;79;0;High;Private;Far;79;65
104;104;98;0;High;Public;Near;58;69
105;105;67;1;Low;Private;Near;82;63
106;106;99;3;Medium;Public;Moderate;92;72
107;107;100;2;High;Public;Moderate;59;76
108;108;82;3;Medium;Public;Near;66;69
109;109;67;3;High;Public;Moderate;72;67
110;110;73;2;High;Public;Near;92;69
111;111;77;0;Medium;Public;Moderate;87;63
112;112;72;3;High;Private;Near;66;67
113;113;71;2;Medium;Public;Near;62;66
114;114;99;2;High;Private;Near;85;79
115;115;66;1;Medium;Public;Near;74;64
116;116;89;1;High;Public;Near;80;73
117;117;60;2;High;Public;Near;82;63
118;118;84;1;High;Public;Near;78;65
119;119;97;0;Medium;Public;Near;81;73
120;120;72;2;Medium;Private;Moderate;94;70
121;121;67;2;High;Public;Near;93;68
122;122;86;1;Medium;Public;Near;57;65
123;123;89;0;Medium;Private;Moderate;79;71
124;124;88;2;Medium;Public;Far;72;64
125;125;73;4;Medium;Private;Moderate;64;68
126;126;70;1;High;Public;Near;82;69
127;127;98;0;High;Private;Moderate;76;69
128;128;97;1;;Public;Far;89;69
129;129;78;1;Low;Private;Near;55;67
130;130;94;4;Medium;Public;Far;65;68
131;131;78;2;Medium;Public;Near;51;64
132;132;77;0;High;Public;Near;87;66
133;133;66;3;High;Public;Near;96;63
134;134;77;0;High;Public;Moderate;79;66
135;135;81;1;High;Private;Near;81;66
136;136;61;3;Medium;Private;Near;52;67
137;137;78;1;Medium;Public;Near;75;65
138;138;91;1;Medium;Public;Near;76;68
139;139;87;1;High;Private;Near;52;68
140;140;85;0;Medium;Private;Near;89;65
141;141;96;2;High;Public;Near;64;71
142;142;61;1;Medium;Private;Far;86;65
143;143;82;3;High;Public;Near;70;64
144;144;91;0;Medium;Private;Near;100;72
145;145;82;2;Medium;Public;Near;61;65
146;146;73;0;High;Private;Near;53;66
147;147;65;0;Medium;Private;Near;99;61
148;148;96;2;High;Public;Near;62;68
149;149;79;3;Medium;Public;Moderate;82;69
150;150;95;1;Medium;Public;Near;69;72
151;151;83;2;High;Public;Near;82;71
152;152;87;2;High;Public;Near;80;70
153;153;92;1;Medium;Public;Moderate;85;68
154;154;86;2;High;Public;Moderate;51;67
155;155;76;1;High;Public;Near;92;68
156;156;81;3;Medium;Public;Near;74;68
157;157;92;2;High;Public;Far;76;72
158;158;75;0;Medium;Public;Near;71;65
159;159;76;2;Medium;Private;Near;99;66
160;160;64;0;High;Public;Near;90;65
161;161;97;2;Medium;Public;Near;66;67
162;162;64;2;Medium;Public;Far;89;66
163;163;86;1;High;Public;Far;72;69
164;164;77;0;High;Public;Moderate;94;66
165;165;76;4;Low;Public;Near;52;69
166;166;87;0;Medium;Public;Near;68;67
167;167;63;1;Low;Private;Near;71;66
168;168;84;2;Medium;Private;Far;87;71
169;169;91;5;High;Public;Moderate;59;70
170;170;93;2;High;Public;Near;64;71
171;171;67;1;Medium;Private;Near;86;66
172;172;96;3;High;Public;Near;54;67
173;173;86;1;Medium;Public;Far;60;66
174;174;95;0;High;Public;Near;88;72
175;175;79;1;Medium;Public;Near;94;68
176;176;82;3;High;Public;Near;86;69
177;177;97;2;Low;Private;Near;76;71
178;178;96;0;Medium;Public;Far;55;70
179;179;78;2;Low;Public;Far;91;67
180;180;71;2;Medium;Public;Far;56;69
181;181;76;2;Medium;Public;Moderate;69;65
182;182;76;1;Medium;Public;Near;53;65
183;183;71;2;High;Public;Near;85;64
184;184;71;1;Medium;Public;Near;75;63
185;185;94;3;Low;Public;Moderate;95;69
186;186;63;1;High;Private;Near;57;64
187;187;87;0;Medium;Private;Moderate;91;72
188;188;67;0;Medium;Public;Near;76;63
189;189;74;3;Medium;Public;Near;68;64
190;190;62;3;Medium;Private;Moderate;82;64
191;191;71;5;Medium;Public;Far;90;67
192;192;91;2;High;Public;Near;72;71
193;193;95;1;Low;Public;Near;62;70
194;194;69;0;Medium;Private;Far;96;61
195;195;79;2;Medium;Public;Moderate;66;67
196;196;79;4;High;Public;Near;100;72
197;197;95;1;Medium;Public;Near;88;66
198;198;91;1;Low;Public;Near;84;70
199;199;81;3;Medium;Public;Near;51;67
200;200;87;2;High;Public;Moderate;72;67
201;201;94;2;Medium;Public;Near;75;71
202;202;60;1;Medium;Private;Near;69;66
203;203;76;1;Medium;Public;Near;57;68
204;204;96;3;Medium;Private;Near;68;74
205;205;90;1;Medium;Public;Near;54;64
206;206;82;1;Medium;Private;Near;65;65
207;207;81;1;Medium;Public;Near;54;66
208;208;74;0;High;Public;Near;88;66
209;209;81;2;Medium;Public;Near;84;68
210;210;86;2;High;Public;Near;97;78
211;211;77;1;Medium;Private;Moderate;69;67
212;212;89;3;Medium;Private;Near;89;74
213;213;94;1;High;Public;Near;79;74
214;214;66;1;Medium;Public;Near;82;62
215;215;78;2;Medium;Public;Far;77;66
216;216;76;3;High;Public;Far;89;69
217;217;87;2;High;Private;Near;52;68
218;218;70;0;Medium;Public;Moderate;54;89
219;219;86;2;Medium;Private;Near;55;66
220;220;95;2;High;Public;Near;64;68
221;221;77;0;Medium;Public;Near;80;69
222;222;96;0;Medium;Public;Near;82;67
223;223;100;2;Medium;Private;Near;86;75
224;224;64;0;Medium;Public;Moderate;64;60
225;225;69;2;High;Private;Moderate;83;66
226;226;98;1;Medium;Private;Near;56;73
227;227;98;1;High;Private;Near;50;68
228;228;64;0;Medium;Public;Near;85;62
229;229;61;2;High;Public;Near;86;62
230;230;66;1;Medium;Public;Far;81;65
231;231;100;2;Medium;Public;Moderate;63;69
232;232;67;3;Medium;Public;Far;96;64
233;233;80;0;Low;Private;Moderate;94;67
234;234;94;0;High;Public;Near;76;70
235;235;61;2;High;Public;Near;99;70
236;236;84;3;High;Public;Near;65;69
237;237;71;0;High;Public;Near;75;61
238;238;94;0;Medium;Private;Moderate;96;69
239;239;71;1;Medium;Public;Near;73;63
240;240;87;0;High;Public;Near;74;67
241;241;87;1;Medium;Public;Moderate;54;65
242;242;69;3;High;Public;Moderate;61;66
243;243;61;4;Medium;Public;Near;58;63
244;244;76;2;Medium;Private;Moderate;78;68
245;245;72;0;High;Public;Near;66;65
246;246;92;1;Medium;Public;Near;54;67
247;247;92;2;High;Public;Near;75;68
248;248;78;0;Low;Public;Near;83;64
249;249;84;0;Medium;Private;Moderate;87;71
250;250;84;0;Medium;Public;Near;92;69
251;251;93;1;Medium;Public;Moderate;74;67
252;252;77;2;Low;Public;Moderate;70;65
253;253;71;1;Medium;Public;Near;84;68
254;254;71;1;Medium;Private;Moderate;51;67
255;255;81;3;High;Public;Near;82;67
256;256;78;2;High;Public;Near;70;66
257;257;78;2;Medium;Public;Moderate;73;70
258;258;64;3;High;Private;Moderate;65;65
259;259;89;4;Low;Private;Near;56;69
260;260;69;1;High;Public;Far;70;65
261;261;68;1;Medium;Public;Near;65;63
262;262;77;2;High;Private;Far;98;67
263;263;69;1;Medium;Public;Near;97;61
264;264;83;0;Medium;Public;Near;82;65
265;265;75;1;Low;Public;Near;95;66
266;266;78;0;Low;Public;Near;88;66
267;267;81;1;High;Public;Near;67;69
268;268;68;2;Medium;Public;Moderate;80;63
269;269;66;1;Medium;Public;Near;61;65
270;270;95;0;Medium;Public;Near;84;67
271;271;77;2;Medium;Public;Near;52;69
272;272;76;4;Low;Public;Near;92;65
273;273;61;1;Medium;Public;Moderate;79;65
274;274;80;0;Medium;Public;Moderate;53;65
275;275;82;2;High;Public;Far;94;67
276;276;82;1;Medium;Public;;94;66
277;277;88;4;Medium;Public;Near;93;72
278;278;67;3;Medium;Public;Near;89;66
279;279;70;2;High;Private;Far;84;65
280;280;92;1;Medium;Public;Moderate;70;69
281;281;98;2;Low;Public;Near;57;68
282;282;65;1;Medium;Public;Near;64;64
283;283;80;3;Medium;Public;Moderate;67;69
284;284;69;0;Medium;Public;Moderate;68;59
285;285;62;0;Medium;Private;Moderate;78;68
286;286;73;0;Medium;Private;Near;60;60
287;287;66;1;Medium;Public;Far;59;62
288;288;88;0;Low;Public;Near;86;67
289;289;81;4;Medium;Private;Far;50;68
290;290;66;3;Medium;Public;Moderate;57;64
291;291;60;3;High;Public;Moderate;72;65
292;292;92;2;Medium;Private;Moderate;57;65
293;293;67;0;Low;Public;Near;98;63
294;294;84;2;High;Public;Near;84;70
295;295;73;3;Medium;Public;Near;72;66
296;296;83;4;Medium;Public;Near;56;68
297;297;73;3;Medium;Private;Near;69;66
298;298;63;3;Medium;Private;Near;83;63
299;299;69;1;Medium;Public;Moderate;98;66
300;300;68;1;Medium;Public;Near;74;65
301;301;77;1;Medium;Public;Moderate;85;66
302;302;86;2;Low;Private;Moderate;60;67
303;303;71;0;Medium;Private;Near;81;66
304;304;60;4;High;Public;Near;62;63
305;305;81;3;Medium;Public;Near;60;66
306;306;84;1;Medium;Public;Moderate;75;67
307;307;99;1;Medium;Public;Near;61;71
308;308;84;1;Medium;Private;Near;86;67
309;309;79;1;Low;Public;Moderate;97;69
310;310;83;2;Medium;Public;Near;70;67
311;311;97;2;Medium;Private;Moderate;66;72
312;312;93;2;Medium;Private;Near;59;70
313;313;73;0;Medium;Private;Moderate;70;67
314;314;69;0;High;Public;Far;78;64
315;315;71;1;High;Private;Moderate;69;67
316;316;80;3;Medium;Private;Near;81;69
317;317;90;0;Medium;Private;;83;68
318;318;80;2;Low;Public;Moderate;55;63
319;319;63;4;High;Public;Near;85;68
320;320;89;0;Medium;Public;Near;95;70
321;321;92;0;Medium;Public;Moderate;51;66
322;322;72;0;High;Public;Near;78;68
323;323;87;0;Medium;Private;Near;80;67
324;324;77;0;Medium;Private;Far;85;69
325;325;96;0;Medium;Private;Near;69;66
326;326;94;3;Medium;Public;Near;91;68
327;327;81;2;Low;Public;Moderate;77;69
328;328;88;1;Medium;Private;Moderate;70;70
329;329;95;1;High;Private;Near;86;74
330;330;80;0;High;Public;Moderate;96;70
331;331;73;1;High;Public;Moderate;91;66
332;332;90;1;High;Private;Near;97;69
333;333;69;0;Medium;Public;Near;63;64
334;334;76;1;Medium;Public;Near;56;62
335;335;95;0;Medium;Public;Moderate;77;70
336;336;89;2;Medium;Public;Moderate;52;68
337;337;76;0;High;Public;Near;84;65
338;338;69;3;Medium;Public;Moderate;62;65
339;339;74;3;High;Public;Moderate;73;71
340;340;71;2;Medium;Public;Near;83;66
341;341;67;0;Medium;Public;Moderate;74;61
342;342;90;2;High;Public;Near;62;67
343;343;70;0;High;Private;Far;94;65
344;344;78;0;Medium;Public;Near;88;65
345;345;75;1;Medium;Private;Moderate;80;65
346;346;99;4;Medium;Public;Moderate;85;73
347;347;76;1;Low;Public;Near;71;62
348;348;63;0;High;Public;Moderate;69;60
349;349;64;1;Medium;Public;Moderate;58;61
350;350;84;2;Medium;Private;Far;90;67
351;351;84;3;High;Private;Near;69;70
352;352;77;1;Medium;Public;Near;85;69
353;353;77;0;Medium;Public;Far;65;66
354;354;62;2;High;Public;Moderate;90;64
355;355;81;1;Medium;Private;Moderate;55;68
356;356;80;1;Medium;Public;Far;81;67
357;357;66;0;Medium;Public;Near;90;64
358;358;64;2;Medium;Public;Near;83;65
359;359;65;2;Medium;Public;Near;85;66
360;360;64;2;Medium;Private;;76;63
361;361;84;2;Low;Public;Moderate;78;68
362;362;68;1;Medium;Private;Far;53;66
363;363;70;3;Low;Public;Near;63;63
364;364;67;1;Medium;Public;Moderate;86;63
365;365;98;1;Medium;Public;Far;97;74
366;366;94;1;High;Public;Moderate;77;70
367;367;69;2;Medium;Private;Near;86;68
368;368;73;0;Medium;Public;Moderate;84;66
369;369;68;0;Medium;Public;Far;100;63
370;370;80;4;Medium;Public;Far;90;67
371;371;61;1;Low;Public;Moderate;81;62
372;372;87;1;High;Public;Moderate;56;71
373;373;81;2;Medium;Public;Near;68;72
374;374;96;1;Medium;Private;Near;63;72
375;375;67;0;High;Public;Far;93;68
376;376;92;1;Medium;Public;Near;72;66
377;377;92;0;Medium;Public;Near;77;70
378;378;65;2;Medium;Private;Near;98;66
379;379;76;1;Medium;Private;Near;92;72
380;380;67;0;High;Public;Moderate;89;64
381;381;70;1;Medium;Private;;57;63
382;382;71;0;Medium;Public;Far;51;61
383;383;82;0;Medium;Private;Far;56;62
384;384;76;1;High;Public;Near;87;68
385;385;98;1;Medium;Public;Near;71;68
386;386;65;1;Medium;Public;Moderate;56;63
387;387;99;1;Medium;Private;Moderate;87;70
388;388;69;1;Medium;Public;Near;60;68
389;389;91;1;Medium;Private;Near;79;72
390;390;74;4;Low;Public;Near;87;67
391;391;66;1;Medium;Private;Near;80;61
392;392;94;0;Medium;Public;Near;100;69
393;393;72;2;High;Private;Moderate;72;61
394;394;86;3;Medium;Public;Moderate;66;75
395;395;83;0;Low;Public;Moderate;60;68
396;396;79;1;High;Public;Near;75;65
397;397;80;4;;Public;Moderate;93;67
398;398;89;3;Low;Public;Near;97;75
399;399;64;1;Medium;Public;Near;99;64
400;400;87;1;High;Public;Moderate;77;70
401;401;96;0;Medium;Public;Moderate;80;67
402;402;62;2;Medium;Public;Near;79;63
403;403;66;1;Medium;Public;;73;65
404;404;89;1;Medium;Public;Far;58;67
405;405;77;2;Medium;Public;Near;53;86
406;406;76;3;High;Public;Moderate;72;67
407;407;65;1;Medium;Public;Far;59;63
408;408;80;0;Low;Public;Moderate;94;66
409;409;65;2;Medium;Private;Near;88;65
410;410;79;1;Medium;Private;Near;81;67
411;411;91;0;High;Public;Near;52;69
412;412;70;2;Low;Public;Near;81;66
413;413;79;1;Medium;Public;Moderate;81;64
414;414;100;1;Medium;Public;Near;72;73
415;415;87;1;Medium;Public;Far;83;66
416;416;94;1;Medium;Public;Near;93;68
417;417;77;0;High;Public;Moderate;88;70
418;418;91;2;Low;Private;Near;74;69
419;419;62;4;Medium;Public;Near;63;67
420;420;65;0;Medium;Private;Moderate;74;62
421;421;68;1;Medium;Public;Near;97;68
422;422;76;1;Medium;Private;Near;91;72
423;423;94;3;Low;Private;Near;51;69
424;424;74;3;High;Private;Near;89;66
425;425;86;1;Medium;Public;Moderate;59;70
426;426;88;0;Medium;Public;Far;79;71
427;427;83;0;Low;Public;Near;90;65
428;428;74;3;High;Public;Near;78;70
429;429;83;2;High;Public;Moderate;70;65
430;430;74;1;High;Private;Far;66;62
431;431;63;2;Medium;Private;Far;65;62
432;432;100;1;High;Public;Moderate;92;70
433;433;65;5;Medium;Private;Near;91;66
434;434;63;4;Medium;Private;Near;91;67
435;435;95;1;High;Public;Near;64;72
436;436;72;0;High;Private;Near;90;66
437;437;86;2;Medium;Public;Moderate;52;68
438;438;73;1;Medium;Public;Moderate;60;62
439;439;76;2;High;Private;Moderate;76;64
440;440;70;0;Medium;Public;Near;70;65
441;441;74;4;High;Public;Moderate;56;66
442;442;76;2;High;Private;Near;52;64
443;443;89;4;Medium;Public;Near;81;67
444;444;80;4;Medium;Public;Near;66;69
445;445;98;0;Low;Public;Moderate;51;68
446;446;62;2;Low;Public;Near;72;64
447;447;80;2;Medium;Private;Moderate;65;68
448;448;83;1;Low;Public;Near;79;64
449;449;97;0;Medium;Public;Near;96;71
450;450;62;3;Medium;Public;Far;65;61
451;451;83;4;Medium;Public;Near;100;68
452;452;94;2;Medium;Public;Near;54;73
453;453;70;3;Medium;Public;Near;54;64
454;454;95;3;Medium;Public;Far;86;72
455;455;61;5;Medium;Public;Near;87;65
456;456;89;1;High;Public;Near;71;68
457;457;97;2;High;Public;Near;64;71
458;458;86;3;;Public;Near;90;65
459;459;78;2;Medium;Private;Near;98;66
460;460;62;4;Low;Public;Moderate;99;63
461;461;97;1;Medium;Public;Moderate;82;74
462;462;79;2;High;Private;Near;87;66
463;463;61;2;High;Public;Moderate;91;63
464;464;88;2;Medium;Private;Moderate;90;72
465;465;79;1;High;Public;Far;100;69
466;466;65;1;High;Public;Near;91;67
467;467;69;3;Medium;Private;Near;83;66
468;468;63;0;High;Private;Moderate;69;64
469;469;83;4;High;Public;Near;80;67
470;470;85;4;Medium;Public;Near;94;69
471;471;80;2;High;Public;;65;65
472;472;93;0;Medium;Public;Near;52;64
473;473;94;1;Low;Public;Near;66;65
474;474;85;2;High;Private;Near;98;72
475;475;61;2;High;Public;Moderate;90;66
476;476;88;2;Medium;Public;Near;59;66
477;477;77;1;Low;Private;Moderate;51;67
478;478;83;1;Medium;Private;Moderate;83;69
479;479;86;3;Medium;Public;Near;79;73
480;480;74;3;Medium;Public;Near;54;69
481;481;97;1;Medium;Private;Near;98;68
482;482;65;1;Medium;Public;Moderate;81;61
483;483;87;0;Medium;Public;Near;83;63
484;484;60;0;Medium;Public;Far;93;63
485;485;97;1;High;Public;Near;67;68
486;486;65;2;Medium;Public;Near;78;63
487;487;64;3;Medium;Private;Near;79;66
488;488;73;2;Medium;Public;Moderate;98;65
489;489;75;0;Medium;Public;Near;57;68
490;490;69;0;Medium;Public;Near;88;66
491;491;83;2;Medium;Public;Moderate;79;66
492;492;78;2;Medium;Private;Near;92;70
493;493;61;0;Medium;Public;Near;92;61
494;494;73;2;High;Private;Moderate;51;61
495;495;92;1;High;Private;Moderate;63;71
496;496;88;1;Medium;Public;Near;59;67
497;497;89;2;High;Public;Near;73;70
498;498;88;2;Medium;Private;Moderate;95;69
499;499;72;2;Medium;Public;Near;50;65
500;500;64;0;Medium;Public;Moderate;74;61
501;501;71;3;Medium;Public;Near;94;68
502;502;93;2;Medium;Public;Near;96;74
503;503;99;1;Medium;Public;Near;83;67
504;504;80;5;Medium;Public;Near;91;70
505;505;60;1;High;Private;Moderate;66;59
506;506;66;0;High;Private;Near;64;64
507;507;73;2;High;Public;Near;52;66
508;508;83;1;Medium;Public;Far;75;63
509;509;63;0;Medium;Public;Near;73;61
510;510;98;2;Medium;Public;Moderate;69;68
511;511;75;3;Medium;Private;Far;56;65
512;512;97;1;Medium;Private;Far;62;69
513;513;91;2;Medium;Private;Moderate;60;68
514;514;90;2;High;Public;Near;97;69
515;515;84;1;High;Public;Far;98;67
516;516;85;1;Medium;Public;Moderate;50;70
517;517;86;1;Medium;Public;Moderate;59;68
518;518;85;0;Medium;Public;Near;94;67
519;519;82;4;Medium;Public;Far;52;67
520;520;99;0;Medium;Public;Moderate;97;75
521;521;89;3;Medium;Public;Moderate;69;63
522;522;91;1;Medium;Public;Near;77;70
523;523;95;2;High;Public;Near;88;70
524;524;69;1;Medium;Public;Far;62;64
525;525;63;0;Low;Public;Near;55;59
526;526;79;1;Low;Public;Near;90;63
527;527;81;2;Medium;Public;Moderate;99;67
528;528;93;0;Medium;Private;Near;83;68
529;529;78;0;High;Private;Near;91;68
530;530;83;2;High;Private;Near;97;97
531;531;81;1;Low;Public;Near;61;66
532;532;62;3;Medium;Public;Near;68;61
533;533;85;2;Medium;Public;Near;61;70
534;534;93;1;Low;Public;Near;53;65
535;535;66;3;Medium;Public;Moderate;87;64
536;536;84;2;Medium;Public;Far;57;69
537;537;84;1;Medium;Private;Near;55;64
538;538;67;2;High;Private;Near;68;61
539;539;65;3;Medium;Public;Near;53;64
540;540;99;0;Medium;Public;Moderate;59;68
541;541;76;1;High;Public;Far;53;67
542;542;69;3;Low;Public;Near;94;62
543;543;67;2;High;Public;Near;89;66
544;544;87;1;Medium;Public;Moderate;93;72
545;545;84;4;High;Public;Moderate;93;68
546;546;86;4;Medium;Public;Near;97;71
547;547;64;3;Medium;Public;Moderate;59;65
548;548;96;2;Low;Private;Moderate;95;68
549;549;76;2;High;Public;Far;76;65
550;550;73;1;Medium;Public;Near;58;64
551;551;78;2;Medium;Public;Far;83;65
552;552;76;0;High;Private;Near;66;65
553;553;95;3;High;Private;Moderate;52;73
554;554;97;1;High;Public;Near;54;72
555;555;72;1;Medium;Private;Near;71;64
556;556;95;0;Medium;Public;Moderate;91;69
557;557;91;1;Medium;Private;Near;66;69
558;558;97;0;Medium;Public;Near;88;70
559;559;70;1;Medium;Public;Near;53;83
560;560;83;3;Medium;Private;Near;70;68
561;561;71;1;High;Public;Near;56;84
562;562;93;1;High;Public;Far;93;75
563;563;60;1;Medium;Public;Near;98;67
564;564;83;0;Medium;Private;Near;66;69
565;565;74;3;Medium;Public;Near;99;71
566;566;73;1;Medium;Public;Near;88;66
567;567;86;1;Medium;Public;Near;50;65
568;568;94;1;Medium;Private;Near;74;70
569;569;84;1;High;Public;Near;92;66
570;570;94;3;High;Public;Near;77;74
571;571;71;0;;Private;Moderate;77;66
572;572;81;0;Medium;Public;Moderate;72;68
573;573;78;2;Medium;Public;Near;70;68
574;574;60;0;Medium;Public;Near;51;62
575;575;82;2;Medium;Private;Moderate;81;71
576;576;86;2;Medium;Public;Near;88;63
577;577;84;2;Low;Public;Far;90;69
578;578;89;3;Medium;Public;Near;81;71
579;579;83;1;Medium;Public;Near;67;66
580;580;63;0;Medium;Public;Moderate;51;64
581;581;65;3;Medium;Public;Moderate;95;65
582;582;84;4;Low;Public;Near;71;69
583;583;71;2;High;Private;Near;80;66
584;584;63;1;Medium;Public;Near;60;67
585;585;77;4;Medium;Public;Far;57;65
586;586;82;3;Medium;Public;Moderate;54;65
587;587;73;1;Medium;Private;Near;90;67
588;588;89;1;Medium;Public;Near;82;66
589;589;86;1;Low;Public;Near;81;69
590;590;73;1;Medium;Public;;96;64
591;591;90;1;High;Private;Near;58;70
592;592;86;3;Medium;Public;Moderate;59;68
593;593;85;1;Medium;Public;Near;59;68
594;594;82;1;;Private;Near;71;69
595;595;60;3;Medium;Public;Moderate;94;68
596;596;88;5;Medium;Public;Near;94;70
597;597;75;2;High;Public;Near;80;67
598;598;98;3;Medium;Public;Near;83;72
599;599;93;1;Medium;Public;Near;95;69
600;600;84;1;Low;Private;Moderate;81;69
601;601;70;3;Medium;Public;Moderate;61;64
602;602;68;2;Medium;Public;Near;85;63
603;603;74;3;High;Public;Near;88;70
604;604;79;0;Medium;Private;Near;82;70
605;605;72;1;Medium;Public;Near;64;66
606;606;81;1;Medium;Public;Near;70;70
607;607;67;0;Medium;Public;Near;74;66
608;608;99;1;Medium;Public;Near;57;68
609;609;64;1;Medium;Public;Near;73;61
610;610;97;1;Medium;Private;Moderate;58;72
611;611;97;1;Medium;Public;Moderate;75;69
612;612;81;0;Low;Public;Far;53;63
613;613;89;2;Medium;Private;Near;97;72
614;614;77;1;Medium;Private;Moderate;62;65
615;615;85;1;Medium;Public;Moderate;73;74
616;616;74;1;Medium;Public;Far;52;62
617;617;72;0;Medium;Private;Near;60;65
618;618;83;1;High;Public;Moderate;85;68
619;619;80;3;Medium;Public;Near;56;66
620;620;83;3;Medium;Public;Moderate;81;71
621;621;71;1;Medium;Public;Near;50;62
622;622;75;1;Medium;Public;Moderate;73;65
623;623;63;0;Medium;Public;Moderate;86;68
624;624;62;4;High;Public;Near;96;70
625;625;70;1;;Private;Near;75;67
626;626;63;2;Medium;Public;Near;92;63
627;627;64;0;High;Private;Near;90;63
628;628;93;0;High;Public;Near;65;69
629;629;62;3;Medium;Public;Near;94;66
630;630;86;2;Medium;Public;Moderate;82;70
631;631;71;2;High;Public;Near;55;63
632;632;95;0;Medium;Private;Moderate;97;72
633;633;79;1;Medium;Public;Moderate;59;65
