Student_ID;Sleep_Hours;Motivation_Level;Physical_Activity;Learning_Disabilities;Gender
202;8;Medium;4;No;Male
203;5;Medium;4;No;Male
204;7;Medium;3;No;Female
205;6;Medium;3;No;Male
206;8;Medium;3;No;Male
207;4;Medium;3;No;Male
208;8;Low;3;Yes;Male
209;4;Medium;5;No;Male
210;7;Medium;1;No;Female
211;6;Low;2;No;Female
212;6;Medium;3;No;Male
213;5;High;2;No;Male
214;9;Low;2;Yes;Female
215;5;Medium;4;No;Male
216;5;High;3;No;Female
217;10;Medium;3;No;Male
218;7;High;2;Yes;Male
219;5;Low;4;No;Male
220;7;Low;3;No;Female
221;7;Low;3;No;Male
222;4;High;4;No;Male
223;6;Low;5;No;Male
224;7;High;4;Yes;Female
225;9;Medium;4;Yes;Female
226;7;Low;3;No;Female
227;7;Low;2;No;Female
228;6;Medium;3;No;Male
229;9;Low;2;No;Male
230;8;High;4;No;Male
231;8;High;3;No;Male
232;7;Low;2;No;Female
233;5;Medium;4;Yes;Female
234;9;Medium;2;No;Male
235;7;High;3;No;Female
236;7;Low;3;No;Female
237;8;Medium;3;No;Male
238;7;Low;2;Yes;Male
239;5;Medium;0;Yes;Male
240;7;Low;4;Yes;Male
241;4;Medium;6;No;Male
242;7;High;4;No;Male
243;9;Medium;2;No;Male
244;4;Medium;3;No;Female
245;7;Medium;4;No;Male
246;8;Medium;3;No;Male
247;8;Medium;3;No;Female
248;6;Medium;3;Yes;Male
249;5;High;3;No;Male
250;6;Low;5;No;Female
251;9;Low;3;No;Male
252;4;Low;3;Yes;Female
253;5;Medium;2;No;Male
254;6;Low;3;No;Male
255;6;High;4;No;Male
256;7;Medium;3;No;Male
257;9;High;4;No;Female
258;5;Medium;4;No;Female
259;7;Low;4;No;Female
260;7;Low;4;No;Female
261;6;Medium;3;Yes;Male
262;5;Low;2;No;Female
263;6;Medium;3;No;Female
264;6;Medium;2;No;Female
265;8;Medium;2;No;Female
266;8;High;3;No;Male
267;5;Medium;1;No;Male
268;6;Medium;3;No;Female
269;6;Medium;6;No;Male
270;10;Low;4;Yes;Male
271;7;Medium;3;Yes;Female
272;5;Medium;2;No;Male
273;6;Medium;3;No;Male
274;6;Medium;2;No;Male
275;8;Low;5;No;Female
276;8;Medium;2;Yes;Male
277;7;Medium;3;No;Female
278;7;High;3;No;Male
279;7;Low;4;No;Male
280;7;Medium;3;No;Male
281;4;Medium;2;No;Female
282;7;Low;1;No;Male
283;6;Medium;4;No;Female
284;5;Low;1;Yes;Female
285;10;Medium;3;No;Female
286;7;Medium;3;No;Female
287;7;Medium;3;No;Male
288;6;Low;3;No;Male
289;8;High;5;No;Female
290;5;High;3;No;Female
291;7;High;3;No;Female
292;6;Medium;2;Yes;Female
293;8;Medium;3;No;Female
294;6;Low;3;No;Male
295;9;Low;3;No;Female
296;7;Low;3;No;Female
297;8;Medium;3;No;Female
298;8;Medium;1;No;Male
299;9;Medium;3;Yes;Female
300;6;Medium;3;No;Female
301;8;High;2;No;Male
302;4;High;3;Yes;Female
303;7;Medium;3;No;Male
304;6;High;3;No;Female
305;5;Low;4;Yes;Male
306;6;Low;3;No;Male
307;6;Medium;3;No;Male
308;7;Medium;2;No;Female
309;6;Medium;4;No;Male
310;7;Medium;4;Yes;Female
311;6;High;2;No;Female
312;6;High;4;No;Female
313;7;Low;4;No;Male
314;7;Medium;3;No;Female
315;8;High;1;No;Female
316;8;Medium;4;No;Male
317;7;Medium;3;No;Male
318;8;Low;3;No;Male
319;7;Medium;3;No;Female
320;7;Medium;3;No;Male
321;8;Low;2;No;Male
322;6;High;6;No;Female
323;4;High;3;No;Male
324;5;Medium;5;No;Female
325;9;High;3;Yes;Female
326;7;Low;3;No;Male
327;7;Medium;2;Yes;Female
328;7;Low;3;No;Male
329;8;High;3;No;Male
330;7;High;0;No;Female
331;7;Low;2;No;Male
332;8;Medium;3;No;Female
333;6;Low;3;No;Male
334;8;Medium;1;No;Male
335;7;Medium;3;No;Female
336;7;Medium;4;No;Male
337;6;Low;3;No;Female
338;7;Low;3;No;Male
339;6;Low;4;No;Female
340;9;Low;5;No;Male
341;4;Medium;3;No;Male
342;8;Low;5;Yes;Male
343;4;Medium;2;No;Male
344;8;Medium;3;No;Female
345;6;Medium;5;No;Male
346;8;High;4;No;Male
347;7;Medium;2;No;Male
348;5;Low;2;No;Female
349;9;Low;3;No;Female
350;8;High;3;No;Male
351;8;Medium;4;No;Male
352;6;Medium;1;No;Male
353;8;High;5;No;Female
354;5;Low;3;No;Male
355;4;Medium;2;No;Male
356;5;Medium;4;No;Female
357;6;High;1;No;Female
358;6;High;2;No;Male
359;6;Medium;3;Yes;Female
360;6;High;4;Yes;Female
361;6;Low;2;No;Female
362;4;Medium;4;No;Male
363;7;Low;5;No;Male
364;7;Low;3;No;Female
365;6;Medium;4;No;Male
366;9;Low;2;No;Male
367;7;Medium;3;No;Male
368;7;Medium;4;No;Female
369;8;Low;4;No;Male
370;5;Medium;3;No;Female
371;7;Medium;3;No;Male
372;8;Medium;3;No;Male
373;7;Medium;4;No;Male
374;5;Medium;2;No;Male
375;6;High;3;No;Female
376;7;Low;5;No;Female
377;4;Medium;3;No;Male
378;5;High;4;No;Male
379;10;Low;3;No;Female
380;8;Low;4;No;Female
381;9;Medium;3;No;Female
382;8;Medium;2;No;Female
383;8;Medium;2;No;Male
384;7;High;4;No;Female
385;8;Low;3;No;Male
386;9;High;5;No;Male
387;8;Low;4;No;Female
388;7;Medium;3;No;Female
389;7;Medium;5;No;Female
390;8;Medium;3;No;Male
391;6;Medium;1;No;Male
392;8;Medium;3;No;Male
393;6;High;2;No;Female
394;6;Medium;3;No;Male
395;5;Medium;2;No;Female
396;6;Low;4;No;Male
397;6;High;3;No;Female
398;10;High;6;No;Female
399;6;Medium;3;No;Male
400;8;Medium;4;No;Male
401;6;Medium;4;No;Female
402;7;Low;3;No;Male
403;7;Medium;4;No;Female
404;4;Medium;3;No;Female
405;5;Medium;3;No;Male
406;6;High;3;Yes;Female
407;5;Low;4;No;Male
408;7;Medium;3;No;Female
409;7;Low;1;No;Male
410;5;Medium;3;No;Female
411;7;Low;4;No;Male
412;6;Medium;2;No;Male
413;7;Medium;2;No;Male
414;6;Medium;2;No;Female
415;8;Low;1;No;Male
416;9;Low;4;No;Female
417;8;Low;4;No;Male
418;9;Medium;2;No;Female
419;5;Low;4;No;Female
420;6;Low;3;No;Male
421;8;High;2;No;Male
422;9;Medium;4;No;Male
423;8;Medium;5;No;Male
424;5;Low;2;No;Male
425;6;Medium;3;No;Female
426;8;Medium;3;No;Male
427;7;Medium;3;No;Female
428;6;Medium;3;No;Female
429;7;High;4;Yes;Male
430;7;Low;3;No;Female
431;5;Medium;2;No;Male
432;8;Medium;3;No;Female
433;6;Medium;3;No;Male
434;7;Low;4;No;Female
435;9;Medium;3;No;Female
436;7;Low;3;No;Female
437;8;Medium;2;Yes;Female
438;5;Medium;4;No;Male
439;8;Medium;3;Yes;Male
440;8;Medium;5;No;Female
441;6;Low;3;No;Male
442;7;Medium;3;No;Female
443;7;Low;3;No;Male
444;7;Low;4;No;Female
445;8;Medium;5;No;Male
446;6;High;4;No;Male
447;7;Medium;2;No;Female
448;9;Medium;3;No;Male
449;9;High;1;No;Male
450;8;Low;2;No;Male
451;7;Medium;3;No;Male
452;10;Low;5;No;Male
453;9;Medium;1;No;Male
454;7;Medium;4;Yes;Male
455;7;High;3;No;Male
456;6;Medium;4;No;Female
457;8;Medium;3;No;Male
458;8;Medium;3;Yes;Male
459;8;Low;2;No;Male
460;7;Medium;1;No;Female
461;5;Medium;3;No;Male
462;7;Low;4;Yes;Female
463;8;High;3;No;Male
464;6;High;4;No;Male
465;7;Low;2;No;Female
466;9;Medium;4;No;Male
467;5;Low;3;No;Male
468;7;Medium;5;No;Female
469;9;Medium;2;No;Female
470;7;High;3;No;Female
471;6;Medium;2;No;Female
472;7;High;2;No;Female
473;8;High;4;No;Female
474;7;Medium;1;Yes;Male
475;8;Medium;2;No;Female
476;7;Medium;3;No;Female
477;7;Medium;3;No;Male
478;8;High;3;Yes;Male
479;7;Low;3;No;Male
480;6;Medium;3;No;Female
481;8;Medium;4;Yes;Male
482;7;Medium;3;No;Female
483;6;Medium;4;No;Male
484;8;Low;2;No;Female
485;9;Medium;2;No;Male
486;7;Medium;3;No;Female
487;7;Medium;4;Yes;Female
488;5;Medium;4;No;Female
489;7;High;1;Yes;Female
490;7;High;4;No;Female
491;7;Low;5;No;Male
492;6;Medium;4;No;Male
493;8;Medium;2;No;Female
494;7;Medium;3;No;Male
495;10;High;4;No;Male
496;7;Medium;2;No;Male
497;4;Medium;3;No;Male
498;5;Medium;4;No;Male
499;8;Medium;4;No;Female
500;6;High;2;No;Male
501;6;Low;4;No;Male
502;5;Medium;2;No;Male
503;6;Low;3;No;Female
504;7;Low;1;No;Female
505;8;Low;2;Yes;Female
506;5;Low;2;No;Male
507;8;Medium;4;No;Female
508;5;Medium;3;No;Female
509;8;Low;3;No;Female
510;8;Low;4;No;Female
511;6;Low;3;No;Male
512;5;Medium;4;No;Male
513;8;Medium;4;No;Male
514;6;Low;2;No;Male
515;7;High;2;No;Female
516;8;High;1;No;Female
517;8;Low;3;No;Female
518;6;Low;4;No;Male
519;7;Medium;3;No;Male
520;6;High;3;No;Male
521;8;Low;4;No;Male
522;9;High;5;No;Male
523;6;Low;4;No;Female
524;7;Medium;4;Yes;Male
525;8;Low;3;No;Female
526;7;High;3;No;Male
527;8;Medium;4;No;Female
528;7;Medium;2;Yes;Male
529;5;Low;3;No;Male
530;7;Medium;2;No;Female
531;9;Medium;4;No;Female
532;7;High;3;No;Male
533;9;High;3;No;Male
534;4;High;1;No;Male
535;8;High;2;No;Female
536;6;High;4;No;Female
537;6;Low;2;No;Male
538;9;Low;2;No;Male
539;7;Low;2;No;Female
540;6;Medium;3;No;Male
541;8;High;3;Yes;Female
542;4;Medium;3;Yes;Male
543;9;Medium;2;No;Female
544;10;High;4;No;Male
545;8;High;3;No;Male
546;8;Medium;3;No;Male
547;7;High;2;No;Female
548;5;Low;3;No;Female
549;9;Medium;5;No;Female
550;8;Medium;4;No;Female
551;8;Medium;4;Yes;Male
552;8;Low;4;Yes;Male
553;7;High;3;No;Female
554;6;Medium;3;No;Male
555;10;Medium;1;No;Male
556;7;Low;4;Yes;Male
557;6;High;3;No;Male
558;9;Medium;2;No;Male
559;7;Low;3;No;Female
560;7;Low;5;No;Female
561;9;High;3;Yes;Female
562;8;High;3;No;Female
563;8;Medium;5;No;Female
564;5;Medium;4;No;Male
565;8;High;4;No;Male
566;5;Medium;5;No;Female
567;6;High;2;No;Male
568;7;Medium;5;No;Male
569;7;High;4;No;Male
570;8;Medium;4;No;Male
571;8;Medium;4;No;Male
572;8;Low;2;No;Male
573;5;Medium;1;No;Male
574;10;Medium;3;Yes;Female
575;7;Medium;2;No;Male
576;9;Medium;2;No;Female
577;4;Medium;3;No;Male
578;7;High;0;No;Male
579;5;Medium;2;No;Male
580;6;Low;2;No;Male
581;7;Low;2;No;Female
582;6;Medium;2;No;Female
583;9;Medium;3;No;Female
584;10;Low;4;No;Female
585;6;Medium;5;No;Male
586;6;High;2;No;Male
587;5;High;4;No;Male
588;9;Low;3;No;Male
589;7;Low;1;No;Male
590;7;Low;2;No;Male
591;7;High;4;No;Male
592;7;Low;3;No;Male
593;6;Low;1;No;Male
594;7;Low;3;No;Female
595;7;High;2;No;Female
596;8;Medium;2;Yes;Female
597;5;Medium;3;No;Female
598;7;Medium;3;No;Male
599;6;Medium;4;No;Male
600;7;Medium;3;No;Male
601;8;Low;4;No;Female
602;6;Medium;3;No;Female
603;9;Medium;3;Yes;Male
604;4;Medium;3;No;Male
605;9;Low;2;No;Female
606;9;Low;4;No;Female
607;6;High;2;No;Female
608;6;Medium;5;No;Male
609;5;Medium;4;No;Male
610;8;Medium;4;No;Female
611;7;Low;2;No;Female
612;6;Low;4;No;Female
613;5;Medium;5;No;Male
614;10;Medium;4;No;Male
615;6;High;5;No;Female
616;7;Low;4;No;Male
617;7;Low;4;No;Male
618;6;Low;4;No;Female
619;6;Medium;2;Yes;Male
620;6;Low;4;No;Male
621;8;Low;2;Yes;Female
622;6;Low;2;No;Female
623;9;Low;3;No;Male
624;6;Medium;3;No;Male
625;8;Medium;2;No;Female
626;4;Medium;4;No;Female
627;6;Low;2;No;Female
628;6;Medium;3;No;Male
629;5;High;3;No;Male
630;7;Low;3;No;Female
631;7;High;3;No;Female
632;4;Medium;4;Yes;Female
633;10;Low;3;Yes;Male
634;7;Low;4;No;Male
635;7;Low;3;Yes;Male
636;9;Medium;5;No;Female
637;8;Medium;1;Yes;Female
638;7;High;0;Yes;Male
639;4;Medium;3;No;Male
640;8;Medium;2;No;Male
641;6;Medium;3;No;Male
642;9;Medium;3;No;Female
643;6;Low;1;Yes;Female
644;6;Low;3;No;Male
645;5;Medium;4;No;Male
646;5;Low;2;No;Female
647;7;Medium;4;No;Male
648;7;Medium;1;No;Male
649;6;Medium;3;No;Female
650;10;Low;4;Yes;Female
651;8;Low;4;No;Female
652;7;Low;4;No;Male
653;4;Low;3;No;Male
654;8;Medium;0;No;Male
655;10;Medium;2;No;Male
656;7;Low;4;No;Female
657;6;Low;4;No;Male
658;7;Medium;4;No;Female
659;5;Low;5;No;Male
660;8;Low;5;No;Male
661;9;Medium;3;No;Female
662;6;Low;3;No;Male
663;6;High;3;No;Male
664;7;Medium;2;No;Male
665;6;Medium;2;No;Male
666;5;Low;2;No;Male
667;6;Low;3;No;Male
668;6;Low;4;No;Female
669;9;Low;3;No;Female
670;9;Medium;3;No;Male
671;9;Low;3;No;Male
672;8;High;2;No;Female
673;7;High;3;No;Male
674;6;Medium;2;No;Female
675;9;High;3;Yes;Female
676;8;Low;3;No;Male
677;5;Medium;2;No;Female
678;6;Low;3;No;Female
679;5;High;5;No;Female
680;4;Medium;3;No;Male
681;8;Medium;1;No;Male
682;5;Medium;4;No;Female
683;6;Low;4;No;Male
684;7;Medium;5;No;Female
685;7;High;1;No;Male
686;6;Low;4;No;Male
687;9;Medium;3;No;Female
688;5;Medium;4;No;Female
689;5;Medium;2;No;Female
690;8;Medium;5;No;Female
691;6;High;2;No;Male
692;6;Low;2;No;Male
693;5;Low;3;No;Female
694;8;Medium;4;No;Male
695;7;Medium;3;No;Female
696;7;Medium;4;No;Male
697;6;High;3;No;Male
698;6;Medium;3;No;Male
699;7;Medium;2;No;Male
700;8;Low;3;No;Female
701;9;Low;5;Yes;Female
702;9;Medium;4;No;Female
703;8;High;6;No;Male
704;8;Medium;4;No;Male
705;5;Medium;3;No;Male
706;6;Medium;2;No;Male
707;8;Low;4;No;Male
708;7;Low;2;No;Male
709;8;Medium;2;Yes;Male
710;8;High;3;No;Male
711;8;High;2;No;Male
712;5;Medium;4;No;Male
713;7;Medium;2;No;Male
714;6;Medium;4;No;Male
715;6;Medium;3;No;Female
716;4;Medium;3;Yes;Male
717;7;Medium;3;No;Female
718;4;Low;3;No;Male
719;8;Low;4;No;Female
720;9;Medium;3;No;Male
721;8;Medium;2;No;Female
722;7;Low;2;No;Male
723;9;High;2;No;Female
724;7;High;4;Yes;Male
725;6;Medium;5;No;Male
726;7;Medium;4;No;Female
727;10;Low;3;No;Male
728;5;High;4;No;Female
729;5;Low;3;Yes;Male
730;8;Low;4;No;Male
731;7;Medium;2;No;Female
732;6;Medium;3;No;Male
733;5;High;3;No;Male
734;4;Medium;5;No;Female
735;5;Low;5;No;Female
736;9;High;4;No;Female
737;7;Medium;3;No;Male
738;4;Medium;2;No;Male
739;9;Medium;3;Yes;Male
740;9;High;6;No;Male
741;9;Low;2;No;Female
742;6;Low;3;No;Male
743;7;Medium;4;No;Male
744;7;High;5;No;Male
745;9;Low;4;No;Female
746;6;Low;3;No;Female
747;6;Medium;2;No;Female
748;8;Medium;4;No;Male
749;9;Medium;2;No;Female
750;7;High;0;No;Female
751;8;Low;5;No;Male
752;7;Medium;4;No;Male
753;7;Medium;1;Yes;Male
754;6;Medium;4;No;Male
755;5;Low;3;No;Female
756;6;Medium;2;No;Male
757;6;Low;3;No;Male
758;7;Medium;2;No;Female
759;9;Medium;2;No;Female
760;7;Medium;2;No;Female
761;6;Medium;3;No;Male
762;8;Medium;4;No;Male
763;7;High;2;No;Male
764;8;Medium;3;No;Male
765;6;Medium;3;No;Male
766;9;Low;2;No;Male
767;9;Low;3;Yes;Male
768;7;Low;4;No;Male
769;8;Medium;4;No;Male
770;9;Medium;3;No;Female
771;6;Medium;2;No;Female
772;7;Medium;3;No;Male
773;7;High;3;No;Male
774;5;Low;2;No;Male
775;8;High;1;No;Male
776;9;Medium;4;No;Male
777;7;Low;3;Yes;Female
778;8;Medium;2;No;Female
779;9;Medium;5;Yes;Female
780;6;Medium;3;No;Female
781;8;Low;1;No;Female
782;6;Medium;4;No;Male
783;6;Low;4;No;Female
784;8;Low;3;Yes;Male
785;7;High;5;Yes;Female
786;8;Medium;3;No;Male
787;7;Medium;4;No;Male
788;8;Medium;1;No;Female
789;9;High;3;Yes;Male
790;9;Medium;4;No;Male
791;8;Medium;1;Yes;Male
792;8;Medium;5;No;Male
793;7;Low;4;No;Female
794;7;Medium;4;No;Female
795;8;Medium;3;No;Male
796;7;Medium;2;No;Male
797;8;Medium;3;No;Female
798;9;High;3;Yes;Male
799;7;High;1;No;Male
800;4;Low;3;No;Male
801;10;Low;3;Yes;Female
802;6;Medium;4;No;Male
803;7;Medium;2;No;Male
804;8;Medium;3;Yes;Male
805;9;High;2;No;Male
806;10;Low;5;No;Male
807;6;Low;2;No;Male
808;9;Low;2;No;Male
809;7;Medium;4;No;Male
810;10;Medium;2;No;Male
811;9;Low;2;No;Female
812;7;Medium;3;No;Female
813;6;Medium;3;No;Male
814;4;Low;4;No;Male
815;8;Low;3;No;Male
816;9;High;3;No;Female
817;8;High;3;No;Female
818;4;Low;4;No;Male
819;5;Low;2;No;Female
820;8;Medium;2;No;Female
821;10;Medium;4;No;Female
822;7;Medium;3;No;Male
823;9;Medium;2;No;Male
824;5;Medium;2;No;Male
825;7;High;2;No;Female
826;7;Medium;3;No;Female
827;9;Low;5;No;Male
828;6;Medium;4;No;Male
829;10;Low;2;No;Male
830;7;Medium;1;No;Male
831;5;Medium;2;Yes;Male
832;5;Medium;3;No;Male
833;6;Low;4;No;Male
834;8;High;4;No;Female
835;6;Medium;3;No;Male
836;6;Low;3;Yes;Male
837;8;Low;2;No;Male
838;4;Low;3;No;Female
839;6;Medium;3;No;Male
840;5;Low;2;No;Female
841;6;Low;2;No;Male
842;7;Low;3;Yes;Female
843;7;Medium;4;No;Female
844;7;Medium;3;Yes;Male
845;9;Low;5;No;Female
846;7;High;3;Yes;Male
847;10;High;2;No;Male
848;8;Medium;5;Yes;Male
849;6;Medium;4;No;Male
850;10;Medium;5;No;Female
851;7;Medium;3;No;Female
852;10;Medium;3;No;Male
853;7;Medium;3;No;Male
854;7;Medium;4;No;Male
855;8;Medium;4;No;Female
856;7;Medium;4;No;Male
857;9;High;3;Yes;Female
858;10;Low;4;No;Male
859;4;High;2;No;Male
860;8;High;2;No;Female
861;6;High;3;Yes;Male
862;4;Low;1;No;Male
863;8;Low;3;No;Male
864;8;High;4;No;Male
865;8;High;3;No;Female
866;8;Low;4;No;Male
867;8;Medium;3;No;Male
868;6;Low;2;No;Male
869;7;Low;2;No;Male
870;8;Low;3;No;Female
871;9;Low;5;No;Female
872;7;Medium;5;No;Female
873;7;Low;1;No;Male
874;7;High;3;No;Male
875;5;Medium;2;Yes;Male
876;8;Medium;2;Yes;Female
877;5;High;3;No;Male
878;8;Medium;2;No;Male
879;7;Low;4;No;Female
880;5;Medium;5;No;Male
881;5;Medium;5;No;Male
882;6;Medium;2;No;Male
883;6;Medium;3;No;Male
884;9;Medium;5;No;Male
885;7;Medium;3;No;Male
886;8;Medium;4;No;Male
887;9;Medium;4;Yes;Male
888;9;Low;4;No;Female
889;7;High;3;No;Male
890;6;Medium;2;No;Female
891;8;Medium;1;No;Male
892;6;Medium;2;No;Male
893;10;Low;3;No;Female
894;8;Medium;1;No;Male
895;7;Medium;4;No;Male
896;8;Medium;3;No;Female
897;7;Medium;3;No;Male
898;6;Medium;3;No;Male
899;8;Medium;4;No;Male
900;7;Medium;2;No;Female
901;10;Medium;2;No;Female
902;6;Low;3;No;Male
903;8;Medium;4;No;Male
904;6;Medium;2;No;Male
905;6;Medium;3;No;Male
906;4;Medium;2;No;Male
907;8;High;1;No;Male
908;6;Low;2;No;Male
909;9;Medium;2;No;Male
910;8;Medium;3;No;Female
911;7;Low;4;No;Male
912;5;High;1;No;Male
913;8;Low;3;No;Male
914;6;Medium;3;No;Female
915;5;High;5;No;Female
916;8;Low;3;No;Female
917;5;Medium;4;Yes;Male
918;4;Medium;2;No;Female
919;9;High;3;No;Male
920;6;Medium;1;No;Male
921;4;Low;3;No;Male
922;6;High;3;No;Female
923;6;Medium;1;No;Female
924;9;Medium;4;No;Female
925;5;Low;4;No;Female
926;5;Low;4;No;Male
927;8;High;3;No;Male
928;6;Low;2;No;Male
929;7;Medium;4;No;Female
930;6;Medium;2;No;Male
931;10;Medium;1;Yes;Female
932;5;Medium;3;No;Male
933;7;Low;3;No;Male
934;9;Medium;3;No;Male
935;6;Low;2;No;Male
936;6;High;5;No;Female
937;8;Medium;3;Yes;Male
938;9;Medium;4;No;Male
939;6;Low;4;No;Male
940;9;Medium;3;No;Male
941;7;High;3;Yes;Male
942;8;High;3;No;Male
943;9;Low;3;No;Female
944;8;Medium;4;No;Male
945;7;Low;2;Yes;Male
946;6;Medium;2;No;Male
947;10;High;5;No;Male
948;6;High;3;No;Male
949;7;Low;6;Yes;Male
950;8;Low;4;No;Male
951;8;Low;4;No;Female
952;10;Medium;2;Yes;Male
953;7;Low;3;No;Female
954;7;Medium;1;No;Female
