Family_ID;Student_ID;Parental_Involvement;Family_Income;Parental_Education_Level
76;76;Medium;Medium;Postgraduate
77;77;Low;Medium;Postgraduate
78;78;High;Medium;High School
79;79;Medium;High;College
80;80;Medium;High;College
81;81;Medium;Low;High School
82;82;High;Low;High School
83;83;High;Medium;College
84;84;Medium;Medium;High School
85;85;Medium;Low;College
86;86;Medium;Medium;High School
87;87;Medium;Medium;College
88;88;Low;Medium;High School
89;89;Medium;High;College
90;90;Medium;Medium;College
91;91;High;Medium;College
92;92;Medium;Medium;High School
93;93;Medium;High;College
94;94;High;Low;High School
95;95;High;High;College
96;96;Medium;Medium;College
97;97;Low;Medium;High School
98;98;Medium;Medium;Postgraduate
99;99;High;Low;High School
100;100;Low;Medium;College
101;101;Medium;Medium;High School
102;102;Medium;High;Postgraduate
103;103;Medium;Low;College
104;104;High;Low;College
105;105;Medium;Low;High School
106;106;Medium;Medium;Postgraduate
107;107;Medium;High;Postgraduate
108;108;Medium;Low;College
109;109;Medium;Low;Postgraduate
110;110;High;Medium;College
111;111;High;Low;High School
112;112;Medium;Low;Postgraduate
113;113;Low;Medium;College
114;114;High;Medium;Postgraduate
115;115;Medium;High;High School
116;116;High;High;High School
117;117;Low;Low;High School
118;118;Medium;Low;High School
119;119;Low;High;High School
120;120;High;Low;College
121;121;High;Low;High School
122;122;Medium;Medium;College
123;123;Low;Low;College
124;124;Low;Medium;College
125;125;Medium;High;College
126;126;Medium;Low;College
127;127;Medium;Medium;College
128;128;Medium;Low;High School
129;129;Medium;High;College
130;130;Low;Medium;High School
131;131;Medium;Low;Postgraduate
132;132;Medium;Low;High School
133;133;High;Low;High School
134;134;Medium;Low;High School
135;135;Medium;Low;Postgraduate
136;136;Medium;Low;College
137;137;High;Low;High School
138;138;Low;Medium;High School
139;139;Medium;Low;High School
140;140;High;High;High School
141;141;Medium;Medium;College
142;142;Medium;Low;Postgraduate
143;143;Medium;Low;Postgraduate
144;144;High;High;Postgraduate
145;145;Medium;Low;High School
146;146;Medium;Low;Postgraduate
147;147;Low;Low;High School
148;148;Low;Medium;College
149;149;High;Medium;Postgraduate
150;150;Medium;Low;College
151;151;Medium;Low;Postgraduate
152;152;High;Low;High School
153;153;Medium;Low;High School
154;154;Low;Low;High School
155;155;Medium;Low;High School
156;156;Medium;Medium;Postgraduate
157;157;Medium;Medium;High School
158;158;Low;Medium;College
159;159;Medium;Medium;High School
160;160;Medium;Low;High School
161;161;Medium;Medium;College
162;162;Medium;Medium;College
163;163;Medium;Medium;High School
164;164;Medium;High;College
165;165;Medium;High;High School
166;166;High;Low;High School
167;167;High;Medium;High School
168;168;Medium;Low;College
169;169;High;Medium;College
170;170;High;Medium;Postgraduate
171;171;Medium;High;Postgraduate
172;172;Medium;Medium;High School
173;173;High;Medium;College
174;174;Medium;Low;Postgraduate
175;175;Medium;Medium;High School
176;176;Medium;Low;High School
177;177;Medium;Low;Postgraduate
178;178;Medium;Medium;Postgraduate
179;179;Medium;High;College
180;180;Medium;High;High School
181;181;Low;Medium;High School
182;182;High;Low;College
183;183;Medium;Medium;High School
184;184;Low;Low;College
185;185;Low;Low;High School
186;186;Medium;Low;College
187;187;High;High;High School
188;188;Low;Medium;High School
189;189;Low;Low;High School
190;190;Medium;High;College
191;191;Medium;Medium;Postgraduate
192;192;Medium;Medium;Postgraduate
193;193;Medium;Medium;High School
194;194;Medium;High;High School
195;195;Medium;Low;College
196;196;High;High;College
197;197;Low;Low;High School
198;198;Medium;High;High School
199;199;High;Medium;High School
200;200;High;Medium;High School
201;201;Low;High;College
202;202;High;Low;College
203;203;Medium;Medium;High School
204;204;Medium;High;College
205;205;Medium;High;High School
206;206;Medium;Low;College
207;207;Low;Low;College
208;208;Medium;Medium;High School
209;209;Medium;Medium;High School
210;210;High;Medium;High School
211;211;Medium;Medium;High School
212;212;Medium;Medium;High School
213;213;Medium;Low;Postgraduate
214;214;Medium;Medium;High School
215;215;High;Medium;High School
216;216;Medium;Medium;High School
217;217;Medium;Low;College
218;218;Medium;Medium;High School
219;219;High;High;College
220;220;Low;Medium;High School
221;221;Medium;Medium;High School
222;222;Medium;Low;College
223;223;High;Medium;High School
224;224;Medium;Medium;High School
225;225;High;Medium;College
226;226;Low;High;College
227;227;Medium;Medium;High School
228;228;Medium;Medium;High School
229;229;Medium;Low;High School
230;230;High;Medium;High School
231;231;High;Low;High School
232;232;Medium;Low;High School
233;233;Medium;Low;Postgraduate
234;234;High;Low;High School
235;235;Medium;Medium;College
236;236;High;Medium;High School
237;237;High;Medium;High School
238;238;Medium;Medium;Postgraduate
239;239;High;Medium;High School
240;240;Medium;Medium;High School
241;241;Low;Medium;
242;242;Medium;High;High School
243;243;Low;Medium;High School
244;244;Medium;Medium;High School
245;245;High;Low;Postgraduate
246;246;Low;Medium;High School
247;247;Low;Medium;Postgraduate
248;248;Medium;Low;College
249;249;Medium;Medium;College
250;250;Medium;Medium;High School
251;251;Medium;Medium;Postgraduate
252;252;Low;High;College
253;253;Low;Medium;High School
254;254;High;High;Postgraduate
255;255;Medium;Medium;High School
256;256;Medium;Low;High School
257;257;High;Medium;College
258;258;High;Medium;Postgraduate
259;259;Low;Medium;Postgraduate
260;260;Medium;High;High School
261;261;High;High;College
262;262;Medium;Low;Postgraduate
263;263;High;Low;High School
264;264;Medium;Medium;High School
265;265;Low;Low;College
266;266;Medium;High;College
267;267;Medium;High;High School
268;268;Medium;Medium;College
269;269;Low;High;Postgraduate
270;270;Low;High;High School
271;271;High;High;High School
272;272;Low;Medium;Postgraduate
273;273;Medium;Low;High School
274;274;High;Low;College
275;275;Medium;Low;College
276;276;Low;Medium;High School
277;277;Medium;Low;High School
278;278;Medium;Low;College
279;279;Medium;Medium;College
280;280;High;Low;High School
281;281;Medium;High;High School
282;282;Medium;High;Postgraduate
283;283;Low;Medium;College
284;284;Medium;High;High School
285;285;High;Medium;High School
286;286;Medium;High;High School
287;287;Medium;High;High School
288;288;Low;Low;College
289;289;Low;Medium;High School
290;290;Medium;Medium;High School
291;291;Medium;Low;High School
292;292;Low;Medium;High School
293;293;High;Low;High School
294;294;Medium;Medium;High School
295;295;Low;Medium;High School
296;296;Medium;High;High School
297;297;Low;Medium;High School
298;298;Low;Medium;College
299;299;High;Low;College
300;300;Medium;Medium;High School
301;301;Medium;Low;Postgraduate
302;302;High;High;College
303;303;Medium;Low;High School
304;304;Low;Low;High School
305;305;Medium;Medium;High School
306;306;Medium;High;College
307;307;Medium;Low;High School
308;308;Medium;Low;High School
309;309;Medium;High;High School
310;310;Medium;Low;Postgraduate
311;311;High;Medium;College
312;312;High;Low;High School
313;313;Medium;Low;Postgraduate
314;314;Low;Low;High School
315;315;Medium;Medium;College
316;316;Low;Medium;Postgraduate
317;317;Low;Low;College
318;318;Medium;Low;High School
319;319;Medium;High;College
320;320;High;Medium;High School
321;321;Medium;Medium;College
322;322;High;Low;High School
323;323;High;Low;College
324;324;Low;Low;High School
325;325;Medium;Medium;College
326;326;Medium;Low;High School
327;327;Medium;Medium;Postgraduate
328;328;Medium;Medium;Postgraduate
329;329;Medium;Medium;College
330;330;Medium;Low;College
331;331;Medium;Medium;Postgraduate
332;332;High;Low;College
333;333;Medium;Low;Postgraduate
334;334;Low;Low;High School
335;335;Low;Medium;High School
336;336;High;Medium;High School
337;337;Medium;Medium;College
338;338;High;Medium;High School
339;339;High;High;Postgraduate
340;340;High;Medium;High School
341;341;Medium;Low;College
342;342;Low;Medium;High School
343;343;Low;Low;College
344;344;Medium;Low;High School
345;345;Medium;Low;High School
346;346;Medium;Medium;High School
347;347;Medium;Medium;College
348;348;Medium;Medium;College
349;349;Low;Medium;College
350;350;Low;Low;Postgraduate
351;351;High;Medium;College
352;352;Low;Medium;College
353;353;Medium;Medium;College
354;354;Medium;Low;College
355;355;High;High;Postgraduate
356;356;High;Low;Postgraduate
357;357;Medium;Medium;College
358;358;Medium;Low;College
359;359;Low;High;Postgraduate
360;360;Medium;Medium;High School
361;361;High;Low;High School
362;362;Medium;Medium;High School
363;363;Medium;Low;High School
364;364;Low;Low;High School
365;365;High;Medium;College
366;366;Medium;Medium;College
367;367;High;Low;High School
368;368;Medium;Medium;Postgraduate
369;369;Medium;Medium;High School
370;370;Low;Low;College
371;371;Medium;Medium;High School
372;372;High;Medium;Postgraduate
373;373;High;Medium;Postgraduate
374;374;Medium;High;Postgraduate
375;375;Medium;Low;High School
376;376;Medium;Medium;High School
377;377;Medium;Low;High School
378;378;Medium;Low;Postgraduate
379;379;Medium;High;Postgraduate
380;380;High;High;High School
381;381;High;Medium;High School
382;382;Medium;Low;Postgraduate
383;383;High;Low;High School
384;384;Medium;Medium;High School
385;385;Low;Medium;High School
386;386;Low;Medium;High School
387;387;Medium;Medium;High School
388;388;High;Low;Postgraduate
389;389;High;Low;High School
390;390;Medium;Low;College
391;391;Low;Low;College
392;392;Low;Low;Postgraduate
393;393;Medium;Low;High School
394;394;High;Medium;College
395;395;High;High;College
396;396;Medium;Medium;High School
397;397;High;Medium;College
398;398;Medium;Medium;High School
399;399;Low;Medium;College
400;400;Medium;Low;High School
401;401;High;Medium;High School
402;402;Medium;Medium;High School
403;403;High;Medium;College
404;404;Medium;Medium;High School
405;405;Low;High;College
406;406;Low;Medium;High School
407;407;High;High;Postgraduate
408;408;Medium;Medium;College
409;409;High;Low;
410;410;Medium;Medium;High School
411;411;Medium;High;College
412;412;High;Medium;Postgraduate
413;413;Medium;High;High School
414;414;High;Low;Postgraduate
415;415;Low;Low;College
416;416;Medium;Low;Postgraduate
417;417;High;Medium;College
418;418;High;Low;
419;419;Medium;High;High School
420;420;Medium;Medium;College
421;421;Medium;Low;High School
422;422;Medium;Low;Postgraduate
423;423;Low;Medium;Postgraduate
424;424;Low;High;High School
425;425;High;Low;High School
426;426;High;Medium;High School
427;427;Medium;Low;College
428;428;High;Low;College
429;429;Low;Medium;High School
430;430;Medium;High;High School
431;431;High;High;High School
432;432;High;Medium;Postgraduate
433;433;Medium;Low;College
434;434;High;Low;High School
435;435;Medium;Medium;High School
436;436;High;Low;Postgraduate
437;437;Medium;Medium;College
438;438;High;Low;High School
439;439;Low;High;Postgraduate
440;440;Medium;Low;Postgraduate
441;441;Medium;Medium;Postgraduate
442;442;Medium;Low;High School
443;443;Medium;Low;College
444;444;High;Medium;College
445;445;High;Medium;Postgraduate
446;446;Medium;Low;High School
447;447;High;High;High School
448;448;Low;Medium;High School
449;449;Medium;High;Postgraduate
450;450;High;Low;High School
451;451;Low;Low;College
452;452;High;High;
453;453;High;Medium;College
454;454;Medium;Low;Postgraduate
455;455;Medium;Medium;High School
456;456;Medium;Medium;High School
457;457;High;Low;High School
458;458;Medium;Medium;Postgraduate
459;459;Medium;Medium;High School
460;460;Low;Medium;Postgraduate
461;461;Medium;Medium;High School
462;462;High;Medium;High School
463;463;Medium;Medium;College
464;464;High;High;High School
465;465;Medium;High;College
466;466;Medium;Medium;College
467;467;Low;Low;High School
468;468;High;Low;High School
469;469;Low;Medium;College
470;470;Medium;Low;College
471;471;Medium;Low;College
472;472;Medium;Medium;College
473;473;Medium;High;High School
474;474;Medium;Low;High School
475;475;Low;Low;High School
476;476;Medium;Low;College
477;477;High;Low;College
478;478;Medium;High;Postgraduate
479;479;Low;Low;High School
480;480;Medium;Medium;College
481;481;Medium;Low;High School
482;482;Low;Low;High School
483;483;Medium;Low;High School
484;484;Medium;Low;High School
485;485;Low;Low;College
486;486;Medium;Low;Postgraduate
487;487;High;Medium;Postgraduate
488;488;High;Low;High School
489;489;High;Low;College
490;490;Medium;Low;College
491;491;Low;Medium;Postgraduate
492;492;High;Low;High School
493;493;Low;Medium;High School
494;494;Medium;Low;High School
495;495;Medium;Low;High School
496;496;Low;Medium;High School
497;497;High;Medium;College
498;498;High;Low;College
499;499;High;Medium;High School
500;500;High;Medium;High School
501;501;Medium;Low;Postgraduate
502;502;High;Low;High School
503;503;Medium;Medium;High School
504;504;Medium;High;High School
505;505;Low;High;High School
506;506;High;Medium;College
507;507;High;Medium;College
508;508;Low;Medium;High School
509;509;Low;High;College
510;510;Low;Low;High School
511;511;Medium;Medium;High School
512;512;Medium;Medium;High School
513;513;High;Low;High School
514;514;Medium;High;High School
515;515;Medium;Low;College
516;516;High;High;College
517;517;Medium;Low;Postgraduate
518;518;Medium;High;College
519;519;High;Low;High School
520;520;High;Medium;College
521;521;Low;Low;College
522;522;Low;Low;High School
523;523;Medium;High;High School
524;524;Medium;Medium;High School
525;525;Medium;Medium;College
526;526;Medium;High;High School
527;527;High;Medium;Postgraduate
528;528;Low;Medium;High School
529;529;Medium;Medium;Postgraduate
530;530;Medium;Low;High School
531;531;Medium;Low;College
532;532;Medium;Medium;Postgraduate
533;533;High;High;College
534;534;Low;Medium;Postgraduate
535;535;Low;Medium;High School
536;536;Medium;Medium;High School
537;537;Medium;Medium;High School
538;538;Low;Low;Postgraduate
539;539;Low;High;High School
540;540;Medium;Medium;High School
541;541;Medium;High;High School
542;542;High;Low;High School
543;543;Medium;Low;High School
544;544;Medium;Low;High School
545;545;Medium;High;College
546;546;Medium;High;High School
547;547;Medium;Medium;High School
548;548;Medium;Medium;High School
549;549;Medium;Low;High School
550;550;High;Medium;High School
551;551;Medium;Medium;High School
552;552;High;Low;High School
553;553;High;Medium;College
554;554;Medium;Low;Postgraduate
555;555;Low;Medium;College
556;556;Medium;Low;Postgraduate
557;557;Medium;High;High School
558;558;Medium;Medium;High School
559;559;Low;Low;High School
560;560;High;Low;Postgraduate
561;561;Low;Low;College
562;562;Medium;Medium;Postgraduate
563;563;Low;Medium;Postgraduate
564;564;Medium;High;Postgraduate
565;565;High;Medium;High School
566;566;Medium;Medium;College
567;567;Medium;Medium;College
568;568;High;High;College
569;569;High;Low;Postgraduate
570;570;High;Medium;Postgraduate
571;571;High;High;High School
572;572;Medium;Low;High School
573;573;Medium;Low;College
574;574;Medium;Medium;College
575;575;Medium;Medium;Postgraduate
576;576;Medium;Low;College
577;577;High;Medium;High School
578;578;Medium;Medium;College
579;579;High;Medium;Postgraduate
580;580;Medium;Low;Postgraduate
581;581;Medium;Low;High School
582;582;Medium;Medium;High School
583;583;Medium;Medium;High School
584;584;Medium;Medium;High School
585;585;Medium;Low;High School
586;586;Low;Low;College
587;587;High;Low;High School
588;588;Low;Medium;College
589;589;Medium;High;High School
590;590;Medium;Low;College
591;591;Medium;High;High School
592;592;High;Low;Postgraduate
593;593;High;Medium;
594;594;High;High;High School
595;595;Medium;High;High School
596;596;Medium;Medium;College
597;597;High;Low;High School
598;598;High;Low;College
599;599;High;Low;High School
600;600;High;Medium;High School
601;601;Low;Low;College
602;602;Low;Medium;High School
603;603;High;Medium;High School
604;604;High;Medium;High School
605;605;High;Medium;College
606;606;Medium;Low;Postgraduate
607;607;Medium;High;Postgraduate
608;608;Medium;Low;College
609;609;Medium;Medium;College
610;610;Medium;High;College
611;611;High;Medium;High School
612;612;Medium;Medium;
613;613;Medium;Medium;High School
614;614;Medium;High;College
615;615;Medium;High;High School
616;616;Medium;High;High School
617;617;High;Low;Postgraduate
618;618;Low;Low;High School
619;619;Medium;Medium;
620;620;High;High;Postgraduate
621;621;Medium;Medium;Postgraduate
622;622;Low;Low;High School
623;623;Medium;High;Postgraduate
624;624;Medium;Medium;High School
625;625;Low;Medium;High School
626;626;Medium;Low;High School
627;627;High;Low;High School
628;628;Medium;Medium;High School
629;629;Low;Medium;Postgraduate
630;630;Medium;Low;High School
631;631;Medium;Low;College
632;632;Low;Medium;College
633;633;High;Medium;College
634;634;Medium;High;Postgraduate
635;635;Medium;High;High School
636;636;High;Low;High School
637;637;Medium;Low;High School
638;638;Medium;Medium;Postgraduate
639;639;Medium;Low;College
640;640;Medium;Low;College
641;641;Medium;Medium;College
642;642;Medium;Medium;High School
643;643;Medium;Medium;Postgraduate
644;644;Medium;Low;College
645;645;High;Medium;High School
646;646;Medium;Medium;High School
647;647;Medium;Medium;High School
648;648;Medium;Low;High School
649;649;Medium;Low;Postgraduate
650;650;Medium;Medium;High School
651;651;Low;Low;High School
652;652;Medium;Low;College
653;653;Medium;Medium;Postgraduate
654;654;Medium;Medium;High School
655;655;High;Low;High School
656;656;Medium;Medium;High School
657;657;High;Low;Postgraduate
658;658;High;Low;High School
659;659;High;High;High School
660;660;High;Medium;Postgraduate
661;661;Medium;Medium;High School
662;662;Medium;Low;Postgraduate
663;663;Low;Medium;Postgraduate
664;664;High;Low;High School
665;665;Medium;Low;College
666;666;Medium;Low;Postgraduate
667;667;Medium;High;Postgraduate
668;668;Medium;High;High School
669;669;Medium;Medium;High School
670;670;Medium;High;High School
671;671;High;Low;High School
672;672;High;Medium;High School
673;673;High;Medium;High School
674;674;High;Medium;Postgraduate
675;675;Low;Low;High School
676;676;High;Low;College
677;677;Medium;Medium;Postgraduate
678;678;High;Medium;High School
679;679;Low;Low;High School
680;680;Medium;Medium;Postgraduate
681;681;High;Low;College
682;682;Medium;Low;High School
683;683;Medium;Low;High School
684;684;Medium;Medium;
685;685;Medium;Medium;
686;686;Medium;High;High School
687;687;Medium;Medium;College
688;688;Medium;Medium;High School
689;689;Medium;Low;Postgraduate
690;690;Low;Low;Postgraduate
691;691;Medium;Low;High School
692;692;Medium;Medium;College
693;693;Medium;Low;High School
694;694;Medium;Low;High School
695;695;Medium;Medium;High School
696;696;High;Low;High School
697;697;High;Medium;High School
698;698;High;High;High School
699;699;Medium;High;College
700;700;Medium;Low;High School
701;701;Low;Low;High School
702;702;Medium;Low;High School
703;703;High;Low;College
704;704;Medium;Low;High School
705;705;Medium;Low;Postgraduate
706;706;Medium;Low;High School
707;707;Medium;Medium;High School
708;708;Low;Medium;College
709;709;Medium;Medium;High School
710;710;Medium;Medium;College
711;711;Medium;Low;High School
712;712;Medium;Medium;High School
713;713;High;High;High School
714;714;High;Low;High School
715;715;High;Low;High School
716;716;Medium;Medium;College
717;717;Medium;High;High School
718;718;High;High;High School
719;719;Low;Low;High School
720;720;Low;Low;High School
721;721;Medium;High;High School
722;722;Medium;Low;College
723;723;Low;Low;College
724;724;High;Medium;
725;725;Medium;Medium;College
726;726;Medium;High;College
727;727;Medium;Medium;High School
728;728;Medium;Medium;College
729;729;Low;Low;College
730;730;Low;High;High School
731;731;Medium;Medium;Postgraduate
732;732;High;Medium;Postgraduate
733;733;Medium;Medium;College
734;734;Medium;Medium;College
735;735;Medium;Medium;College
736;736;Medium;Low;Postgraduate
737;737;Medium;Medium;High School
738;738;Low;High;High School
739;739;High;Medium;High School
740;740;Medium;High;Postgraduate
741;741;Medium;Medium;High School
742;742;Medium;Medium;College
743;743;High;High;High School
744;744;Medium;Medium;High School
745;745;Low;Low;
746;746;High;Medium;College
747;747;Medium;Low;College
748;748;Low;Low;College
749;749;Low;Low;College
750;750;High;Low;College
751;751;High;Medium;High School
752;752;High;Medium;High School
753;753;High;Medium;High School
754;754;Medium;High;Postgraduate
755;755;Medium;Low;High School
756;756;Medium;Low;College
757;757;High;High;High School
758;758;Medium;Medium;College
759;759;High;Medium;Postgraduate
760;760;Low;Medium;Postgraduate
761;761;High;Low;Postgraduate
762;762;Medium;Medium;College
763;763;High;Medium;High School
764;764;Low;Low;College
765;765;Low;High;High School
766;766;Low;Low;High School
767;767;Medium;Low;High School
768;768;Medium;Low;High School
769;769;High;Low;College
770;770;Medium;High;High School
771;771;Low;Low;High School
772;772;Medium;High;High School
773;773;Low;Low;High School
774;774;High;High;Postgraduate
775;775;High;Low;High School
776;776;High;Low;High School
777;777;Medium;Medium;High School
778;778;Low;Low;Postgraduate
779;779;Medium;Medium;College
780;780;Medium;Medium;College
781;781;High;High;Postgraduate
782;782;Low;High;College
783;783;Low;Medium;High School
784;784;High;Low;High School
785;785;Medium;Low;
786;786;Medium;Low;High School
787;787;High;Low;High School
788;788;Low;High;Postgraduate
789;789;High;Low;
790;790;Medium;Medium;Postgraduate
791;791;Low;High;College
792;792;Medium;Low;High School
793;793;Low;Medium;High School
794;794;Medium;Medium;High School
795;795;Medium;High;Postgraduate
796;796;Medium;Low;Postgraduate
797;797;Medium;Medium;High School
798;798;Medium;Medium;High School
799;799;Low;Medium;College
800;800;High;Medium;High School
801;801;High;Medium;High School
802;802;Low;Medium;High School
803;803;Medium;High;High School
804;804;Medium;Low;High School
805;805;Low;Low;College
806;806;Medium;Low;High School
807;807;Medium;Low;
808;808;Medium;High;High School
809;809;Low;Medium;High School
810;810;High;High;College
811;811;Medium;High;College
812;812;Medium;Low;High School
813;813;High;Medium;Postgraduate
814;814;High;Low;College
815;815;Medium;High;High School
816;816;High;Medium;High School
817;817;Medium;Low;High School
818;818;Medium;Low;College
819;819;Medium;Medium;Postgraduate
820;820;High;Low;College
821;821;Medium;Medium;High School
822;822;Medium;Low;High School
823;823;Medium;Medium;College
824;824;Medium;Low;College
825;825;Medium;Medium;Postgraduate
826;826;Medium;Low;High School
827;827;Low;Medium;Postgraduate
828;828;Medium;Medium;High School
829;829;Medium;Low;High School
830;830;High;High;High School
831;831;Medium;Low;High School
832;832;Medium;Low;College
833;833;High;Low;High School
834;834;Low;Low;High School
835;835;Medium;Low;College
836;836;Medium;Low;High School
837;837;Medium;Low;Postgraduate
838;838;Medium;Medium;High School
839;839;Low;Low;High School
840;840;Low;Medium;Postgraduate
841;841;Medium;Low;High School
842;842;Medium;Low;High School
843;843;High;Low;Postgraduate
844;844;High;Medium;High School
845;845;Low;Medium;College
846;846;Medium;Low;High School
847;847;Low;High;College
848;848;Medium;Medium;High School
849;849;High;Medium;College
850;850;Medium;Low;College
851;851;Low;Medium;High School
852;852;Medium;Medium;High School
853;853;Low;Low;Postgraduate
854;854;Medium;High;College
855;855;Medium;Low;High School
856;856;Medium;Low;College
857;857;High;Medium;High School
858;858;Medium;Medium;High School
859;859;High;Medium;High School
860;860;High;Low;High School
861;861;Medium;Low;Postgraduate
862;862;Medium;Medium;College
863;863;Low;Low;Postgraduate
864;864;Medium;Low;College
865;865;Medium;Medium;College
866;866;Low;Low;College
867;867;Medium;High;High School
868;868;High;Medium;College
869;869;High;Medium;High School
870;870;Medium;Low;High School
871;871;Medium;Low;High School
872;872;High;Low;High School
873;873;Medium;Medium;College
874;874;Low;Medium;High School
875;875;Medium;Medium;College
876;876;High;Medium;College
877;877;Low;High;High School
878;878;Medium;Medium;College
879;879;Medium;Medium;High School
880;880;High;High;Postgraduate
881;881;High;Low;College
882;882;Medium;Low;High School
883;883;High;Medium;College
884;884;Low;Low;High School
885;885;Low;Low;High School
886;886;High;Low;High School
887;887;Medium;Low;High School
888;888;Low;Low;College
889;889;Medium;Low;Postgraduate
890;890;High;Low;High School
891;891;High;Medium;College
892;892;High;Medium;
893;893;Medium;Medium;High School
894;894;High;High;Postgraduate
895;895;Medium;Low;Postgraduate
896;896;Medium;Low;Postgraduate
897;897;High;High;High School
898;898;Medium;Low;High School
899;899;Low;Medium;High School
900;900;Medium;Low;College
901;901;Medium;Medium;High School
902;902;Low;High;Postgraduate
903;903;Low;Medium;High School
904;904;Medium;Low;Postgraduate
905;905;Low;Medium;Postgraduate
906;906;High;Low;College
907;907;Medium;High;College
908;908;Low;Low;High School
909;909;Medium;High;Postgraduate
910;910;High;Medium;College
911;911;Low;Low;College
912;912;Medium;Medium;Postgraduate
913;913;High;Low;Postgraduate
914;914;Medium;Medium;College
915;915;High;Medium;Postgraduate
916;916;Medium;Medium;High School
917;917;Medium;Low;College
918;918;Medium;High;High School
919;919;Low;Medium;High School
920;920;High;Low;High School
921;921;High;Medium;College
922;922;High;Medium;High School
923;923;High;High;High School
924;924;High;Low;High School
925;925;Medium;Low;High School
926;926;High;Low;College
927;927;Medium;High;High School
928;928;Medium;Low;College
929;929;Medium;Medium;High School
930;930;High;Low;High School
931;931;Medium;High;High School
932;932;High;Low;Postgraduate
933;933;Medium;High;High School
934;934;High;Medium;College
935;935;High;Medium;College
936;936;Low;Medium;College
937;937;High;Medium;College
938;938;Medium;Medium;College
939;939;Medium;Medium;High School
940;940;High;High;
941;941;Medium;Medium;High School
942;942;Medium;Medium;College
943;943;Medium;High;Postgraduate
944;944;Low;Low;High School
945;945;Medium;Medium;High School
946;946;Medium;Low;College
947;947;High;Medium;High School
948;948;Low;Low;Postgraduate
949;949;Medium;Low;College
950;950;High;High;High School
951;951;High;Medium;High School
952;952;High;Low;College
953;953;Medium;Medium;Postgraduate
954;954;Medium;Low;Postgraduate
955;955;Medium;Medium;High School
956;956;Low;Medium;High School
957;957;High;Low;College
958;958;Medium;High;College
959;959;Medium;Medium;High School
960;960;Medium;Low;Postgraduate
961;961;Medium;High;Postgraduate
962;962;Medium;Low;High School
963;963;High;Medium;College
964;964;Medium;Medium;High School
965;965;Medium;Low;High School
966;966;Low;Low;Postgraduate
967;967;Low;Medium;High School
968;968;Medium;Medium;High School
969;969;Low;Low;High School
970;970;Low;Low;High School
971;971;High;Low;High School
972;972;Medium;Low;College
973;973;Low;Medium;High School
974;974;Low;Low;Postgraduate
975;975;Low;Low;College
976;976;Medium;Medium;College
977;977;Medium;Medium;College
978;978;Medium;High;College
979;979;Low;Medium;High School
980;980;Medium;Low;College
981;981;Medium;Low;High School
982;982;Medium;Low;College
983;983;High;Low;High School
984;984;Medium;Low;High School
985;985;Low;Medium;Postgraduate
986;986;High;Low;High School
987;987;Medium;Low;High School
988;988;Medium;Medium;College
989;989;High;High;High School
990;990;Medium;Low;College
991;991;High;Low;High School
992;992;Low;High;High School
993;993;Medium;Low;High School
994;994;Low;Low;College
995;995;Medium;Low;Postgraduate
996;996;Medium;High;College
997;997;Medium;Low;High School
998;998;Low;High;High School
