AF_ID;Student_ID;Hours_Studied;Access_to_Resources;Extracurricular_Activities;Internet_Access;Peer_Influence
263;263;1;Medium;Yes;Yes;Positive
264;264;14;Low;Yes;Yes;Positive
265;265;18;High;Yes;Yes;Neutral
266;266;13;High;Yes;Yes;Neutral
267;267;30;Low;Yes;Yes;Negative
268;268;11;Medium;No;Yes;Positive
269;269;17;High;No;Yes;Positive
270;270;21;Low;No;Yes;Neutral
271;271;29;High;Yes;Yes;Negative
272;272;11;Medium;Yes;Yes;Negative
273;273;27;Medium;No;Yes;Positive
274;274;20;Low;Yes;Yes;Neutral
275;275;14;High;Yes;Yes;Negative
276;276;23;Medium;Yes;Yes;Negative
277;277;21;High;No;Yes;Positive
278;278;16;High;No;Yes;Positive
279;279;20;Medium;Yes;No;Neutral
280;280;18;Medium;Yes;Yes;Neutral
281;281;21;Low;No;Yes;Neutral
282;282;24;Low;No;Yes;Neutral
283;283;30;High;No;Yes;Negative
284;284;13;Low;Yes;Yes;Positive
285;285;33;Medium;Yes;Yes;Positive
286;286;8;Medium;No;No;Neutral
287;287;19;High;No;Yes;Negative
288;288;24;Medium;Yes;Yes;Negative
289;289;22;High;Yes;Yes;Positive
290;290;16;High;Yes;Yes;Positive
291;291;19;High;Yes;Yes;Positive
292;292;17;Low;Yes;Yes;Positive
293;293;16;Medium;No;Yes;Neutral
294;294;25;Low;Yes;Yes;Positive
295;295;22;Medium;Yes;Yes;Positive
296;296;16;High;Yes;Yes;Positive
297;297;25;Low;No;Yes;Positive
298;298;22;Low;No;Yes;Negative
299;299;25;Medium;Yes;Yes;Negative
300;300;24;Medium;Yes;Yes;Neutral
301;301;15;Medium;Yes;Yes;Positive
302;302;17;Low;Yes;Yes;Positive
303;303;24;Medium;Yes;Yes;Positive
304;304;24;Medium;No;Yes;Negative
305;305;20;Medium;Yes;Yes;Positive
306;306;21;Medium;No;No;Positive
307;307;28;Medium;Yes;No;Positive
308;308;16;High;Yes;Yes;Neutral
309;309;23;High;Yes;Yes;Neutral
310;310;19;Medium;Yes;Yes;Negative
311;311;19;Medium;Yes;Yes;Positive
312;312;27;Low;No;Yes;Negative
313;313;25;High;Yes;Yes;Neutral
314;314;25;High;Yes;Yes;Negative
315;315;28;Medium;No;Yes;Neutral
316;316;20;High;No;Yes;Negative
317;317;24;Low;No;Yes;Positive
318;318;18;Medium;No;Yes;Neutral
319;319;22;High;Yes;Yes;Negative
320;320;19;Medium;Yes;Yes;Positive
321;321;21;Low;Yes;Yes;Neutral
322;322;24;High;No;Yes;Negative
323;323;15;Low;Yes;Yes;Positive
324;324;33;High;Yes;Yes;Neutral
325;325;14;Low;Yes;Yes;Negative
326;326;13;Medium;Yes;Yes;Neutral
327;327;27;Medium;Yes;Yes;Neutral
328;328;25;Medium;Yes;Yes;Positive
329;329;24;High;Yes;Yes;Neutral
330;330;24;High;Yes;Yes;Positive
331;331;20;Medium;Yes;Yes;Neutral
332;332;15;Medium;Yes;Yes;Negative
333;333;20;High;No;Yes;Negative
334;334;16;High;Yes;No;Positive
335;335;26;High;No;Yes;Neutral
336;336;19;Medium;Yes;Yes;Negative
337;337;15;Medium;Yes;Yes;Neutral
338;338;18;High;No;Yes;Positive
339;339;22;High;Yes;Yes;Positive
340;340;17;Medium;Yes;Yes;Neutral
341;341;15;Medium;No;Yes;Negative
342;342;21;Medium;Yes;Yes;Negative
343;343;21;High;Yes;Yes;Neutral
344;344;17;High;No;Yes;Negative
345;345;17;High;Yes;No;Positive
346;346;21;Medium;No;Yes;Positive
347;347;11;Medium;Yes;No;Neutral
348;348;12;High;Yes;Yes;Negative
349;349;16;Medium;Yes;Yes;Positive
350;350;19;Medium;Yes;Yes;Neutral
351;351;22;Medium;No;No;Neutral
352;352;29;High;No;Yes;Positive
353;353;25;Low;Yes;No;Positive
354;354;19;Medium;No;Yes;Positive
355;355;20;Medium;Yes;Yes;Positive
356;356;14;Medium;Yes;Yes;Positive
357;357;20;Medium;No;Yes;Neutral
358;358;18;Medium;Yes;Yes;Positive
359;359;22;High;Yes;Yes;Positive
360;360;15;Medium;Yes;Yes;Positive
361;361;23;Medium;Yes;Yes;Negative
362;362;29;High;Yes;Yes;Negative
363;363;19;Medium;No;No;Neutral
364;364;22;Medium;No;Yes;Positive
365;365;24;Medium;Yes;Yes;Positive
366;366;18;High;Yes;Yes;Positive
367;367;21;High;Yes;Yes;Neutral
368;368;20;Medium;Yes;Yes;Neutral
369;369;21;Low;No;Yes;Positive
370;370;15;High;No;Yes;Positive
371;371;20;Medium;No;Yes;Neutral
372;372;23;High;No;Yes;Positive
373;373;29;Medium;No;Yes;Neutral
374;374;26;Medium;Yes;No;Positive
375;375;33;Medium;Yes;Yes;Neutral
376;376;15;Low;Yes;Yes;Negative
377;377;25;Medium;No;Yes;Positive
378;378;21;Low;Yes;No;Positive
379;379;33;Medium;Yes;Yes;Positive
380;380;15;Medium;Yes;Yes;Neutral
381;381;15;Medium;No;Yes;Negative
382;382;16;Medium;No;Yes;Negative
383;383;7;High;Yes;Yes;Negative
384;384;17;High;No;Yes;Positive
385;385;15;Medium;Yes;Yes;Positive
386;386;21;Medium;No;Yes;Positive
387;387;22;Low;Yes;Yes;Neutral
388;388;31;Low;Yes;Yes;Neutral
389;389;26;Medium;Yes;Yes;Neutral
390;390;17;Medium;Yes;Yes;Positive
391;391;15;High;No;No;Neutral
392;392;23;Medium;No;No;Neutral
393;393;12;Low;Yes;Yes;Negative
394;394;31;High;Yes;Yes;Positive
395;395;27;Low;No;Yes;Neutral
396;396;17;Low;Yes;Yes;Neutral
397;397;10;Medium;Yes;Yes;Negative
398;398;28;High;Yes;Yes;Negative
399;399;19;Medium;No;Yes;Positive
400;400;27;Medium;No;Yes;Neutral
401;401;10;High;No;No;Neutral
402;402;16;Medium;Yes;Yes;Neutral
403;403;20;High;No;Yes;Negative
404;404;20;Medium;Yes;Yes;Positive
405;405;17;High;Yes;Yes;Neutral
406;406;24;High;No;Yes;Neutral
407;407;14;Medium;No;Yes;Positive
408;408;19;Medium;No;Yes;Neutral
409;409;21;High;No;Yes;Neutral
410;410;23;Medium;No;Yes;Neutral
411;411;24;Medium;No;Yes;Neutral
412;412;13;High;No;Yes;Positive
413;413;11;Medium;Yes;Yes;Neutral
414;414;28;Low;Yes;Yes;Negative
415;415;22;Medium;No;Yes;Neutral
416;416;16;Medium;No;Yes;Negative
417;417;29;Low;Yes;Yes;Positive
418;418;21;Medium;No;Yes;Negative
419;419;27;High;Yes;Yes;Negative
420;420;20;Low;No;Yes;Positive
421;421;32;Low;No;Yes;Positive
422;422;31;High;Yes;Yes;Neutral
423;423;19;Medium;No;Yes;Positive
424;424;26;Low;No;Yes;Negative
425;425;24;High;No;Yes;Positive
426;426;28;Medium;No;Yes;Positive
427;427;14;Medium;Yes;Yes;Negative
428;428;24;Medium;Yes;Yes;Positive
429;429;26;Low;No;No;Negative
430;430;9;High;No;Yes;Neutral
431;431;13;Medium;Yes;Yes;Neutral
432;432;8;Medium;Yes;Yes;Neutral
433;433;18;High;Yes;No;Neutral
434;434;24;Low;Yes;Yes;Positive
435;435;29;Low;No;Yes;Positive
436;436;20;Low;Yes;Yes;Negative
437;437;30;Low;Yes;Yes;Negative
438;438;12;Medium;No;Yes;Negative
439;439;10;Medium;Yes;Yes;Positive
440;440;20;Medium;No;Yes;Neutral
441;441;22;Low;Yes;Yes;Negative
442;442;20;Low;No;Yes;Neutral
443;443;8;High;Yes;Yes;Neutral
444;444;19;Medium;Yes;Yes;Negative
445;445;12;Medium;Yes;Yes;Positive
446;446;24;Medium;No;Yes;Neutral
447;447;22;Medium;Yes;Yes;Neutral
448;448;14;Low;Yes;Yes;Positive
449;449;17;High;No;Yes;Negative
450;450;14;High;Yes;Yes;Negative
451;451;20;Medium;No;Yes;Negative
452;452;26;Medium;Yes;Yes;Neutral
453;453;14;Medium;Yes;No;Positive
454;454;23;Medium;Yes;Yes;Positive
455;455;17;Medium;Yes;Yes;Neutral
456;456;15;Medium;Yes;Yes;Positive
457;457;19;Low;Yes;Yes;Positive
458;458;14;Low;Yes;No;Negative
459;459;17;Medium;No;Yes;Positive
460;460;13;High;No;Yes;Positive
461;461;32;High;No;Yes;Neutral
462;462;20;Low;Yes;No;Neutral
463;463;16;Low;No;Yes;Neutral
464;464;21;Medium;Yes;Yes;Neutral
465;465;19;High;No;Yes;Positive
466;466;19;High;Yes;Yes;Positive
467;467;24;High;No;Yes;Neutral
468;468;25;Medium;No;Yes;Negative
469;469;17;Medium;No;Yes;Negative
470;470;17;Low;No;Yes;Positive
471;471;18;Low;Yes;Yes;Negative
472;472;6;Medium;No;Yes;Neutral
473;473;11;Low;Yes;No;Neutral
474;474;28;High;Yes;Yes;Positive
475;475;30;High;Yes;Yes;Negative
476;476;19;Low;No;Yes;Neutral
477;477;23;High;Yes;Yes;Positive
478;478;22;Medium;Yes;Yes;Negative
479;479;38;High;Yes;Yes;Negative
480;480;27;High;No;Yes;Neutral
481;481;19;Low;No;Yes;Neutral
482;482;14;Medium;Yes;Yes;Positive
483;483;10;Low;Yes;No;Positive
484;484;21;High;Yes;Yes;Positive
485;485;15;Medium;Yes;Yes;Neutral
486;486;11;High;No;Yes;Neutral
487;487;16;Medium;Yes;Yes;Positive
488;488;14;Medium;Yes;Yes;Negative
489;489;30;High;No;Yes;Neutral
490;490;25;Medium;Yes;Yes;Negative
491;491;20;Low;No;No;Positive
492;492;29;Medium;No;Yes;Negative
493;493;20;Low;Yes;Yes;Negative
494;494;15;Low;Yes;Yes;Negative
495;495;29;Medium;Yes;Yes;Negative
496;496;23;Medium;Yes;Yes;Negative
497;497;14;High;Yes;Yes;Negative
498;498;19;Medium;No;Yes;Negative
499;499;15;High;No;Yes;Neutral
500;500;12;Low;Yes;Yes;Positive
501;501;26;Low;No;Yes;Positive
502;502;31;Low;Yes;Yes;Positive
503;503;12;Medium;No;Yes;Negative
504;504;23;Medium;Yes;Yes;Negative
505;505;16;Medium;Yes;Yes;Neutral
506;506;17;High;No;Yes;Neutral
507;507;16;Medium;Yes;Yes;Positive
508;508;15;Low;Yes;Yes;Neutral
509;509;20;Low;Yes;Yes;Neutral
510;510;15;High;Yes;Yes;Neutral
511;511;22;Medium;No;Yes;Positive
512;512;20;High;No;Yes;Neutral
513;513;19;Low;Yes;Yes;Neutral
514;514;15;Low;Yes;Yes;Positive
515;515;17;Low;Yes;Yes;Neutral
516;516;25;High;No;Yes;Neutral
517;517;23;Medium;Yes;Yes;Neutral
518;518;14;Medium;No;Yes;Positive
519;519;21;Medium;No;Yes;Neutral
520;520;25;Medium;Yes;Yes;Positive
521;521;10;Low;Yes;Yes;Negative
522;522;23;Medium;No;Yes;Positive
523;523;16;Low;Yes;Yes;Positive
524;524;23;High;Yes;Yes;Neutral
525;525;15;Low;No;Yes;Neutral
526;526;9;Low;No;Yes;Neutral
527;527;10;Medium;Yes;No;Positive
528;528;20;High;Yes;Yes;Negative
529;529;22;Medium;Yes;Yes;Negative
530;530;15;Medium;No;Yes;Neutral
531;531;24;Low;No;Yes;Positive
532;532;10;Low;No;Yes;Neutral
533;533;20;Medium;No;Yes;Positive
534;534;13;Low;Yes;Yes;Positive
535;535;16;Medium;Yes;Yes;Positive
536;536;20;High;Yes;Yes;Positive
537;537;15;High;No;Yes;Negative
538;538;18;Low;Yes;Yes;Negative
539;539;26;Medium;No;Yes;Positive
540;540;17;High;No;Yes;Neutral
541;541;25;High;No;Yes;Positive
542;542;13;Low;No;Yes;Positive
543;543;23;Medium;Yes;Yes;Neutral
544;544;29;High;Yes;Yes;Neutral
545;545;5;Medium;Yes;Yes;Positive
546;546;15;High;Yes;Yes;Positive
547;547;23;Medium;Yes;Yes;Positive
548;548;19;Low;Yes;No;Neutral
549;549;22;Low;No;Yes;Neutral
550;550;16;Low;Yes;Yes;Neutral
551;551;21;Low;No;Yes;Positive
552;552;19;High;Yes;Yes;Negative
553;553;27;Medium;No;Yes;Negative
554;554;22;High;Yes;Yes;Positive
555;555;22;Medium;Yes;Yes;Negative
556;556;18;Medium;Yes;Yes;Positive
557;557;17;Medium;No;Yes;Positive
558;558;17;High;Yes;No;Positive
559;559;22;Medium;No;Yes;Positive
560;560;17;Medium;No;Yes;Neutral
561;561;22;High;Yes;Yes;Neutral
562;562;32;Medium;Yes;Yes;Negative
563;563;25;High;No;Yes;Neutral
564;564;18;High;Yes;Yes;Positive
565;565;27;Medium;No;No;Positive
566;566;18;Low;Yes;Yes;Positive
567;567;8;High;No;Yes;Positive
568;568;14;Medium;No;Yes;Positive
569;569;9;Low;No;Yes;Negative
570;570;18;Medium;Yes;Yes;Positive
571;571;20;Medium;No;Yes;Neutral
572;572;30;High;No;Yes;Neutral
573;573;22;High;Yes;Yes;Positive
574;574;19;High;No;Yes;Positive
575;575;25;High;Yes;Yes;Neutral
576;576;7;Low;No;Yes;Negative
577;577;21;High;No;Yes;Neutral
578;578;25;Medium;Yes;Yes;Negative
579;579;11;Low;Yes;Yes;Positive
580;580;27;High;No;Yes;Positive
581;581;22;Medium;Yes;Yes;Positive
582;582;18;High;No;Yes;Positive
583;583;24;Low;No;Yes;Positive
584;584;34;High;Yes;Yes;Negative
585;585;21;Low;Yes;Yes;Negative
586;586;21;Low;Yes;Yes;Negative
587;587;17;Medium;No;Yes;Positive
588;588;15;Medium;Yes;Yes;Neutral
589;589;25;Medium;Yes;Yes;Positive
590;590;15;High;No;Yes;Negative
591;591;20;Medium;Yes;Yes;Neutral
592;592;17;Medium;Yes;Yes;Positive
593;593;23;Low;Yes;Yes;Negative
594;594;22;Medium;Yes;Yes;Positive
595;595;26;Medium;Yes;Yes;Positive
596;596;17;Medium;Yes;Yes;Neutral
597;597;18;Medium;Yes;Yes;Neutral
598;598;14;High;Yes;No;Positive
599;599;17;Low;No;Yes;Neutral
600;600;22;Medium;No;Yes;Positive
601;601;25;Medium;Yes;No;Positive
602;602;14;Medium;Yes;Yes;Neutral
603;603;25;High;Yes;Yes;Neutral
604;604;28;Medium;Yes;Yes;Positive
605;605;22;Medium;Yes;Yes;Negative
606;606;31;Medium;No;Yes;Neutral
607;607;15;High;Yes;Yes;Positive
608;608;13;Medium;Yes;Yes;Negative
609;609;9;Medium;No;Yes;Positive
610;610;29;Medium;No;Yes;Negative
611;611;24;Low;No;Yes;Negative
612;612;20;Low;Yes;Yes;Neutral
613;613;22;High;Yes;Yes;Neutral
614;614;13;Medium;Yes;Yes;Neutral
615;615;35;High;Yes;Yes;Negative
616;616;21;Low;Yes;Yes;Negative
617;617;21;Medium;No;Yes;Neutral
618;618;24;High;No;Yes;Neutral
619;619;23;Low;Yes;Yes;Positive
620;620;21;Medium;Yes;Yes;Negative
621;621;15;High;No;Yes;Neutral
622;622;23;High;Yes;Yes;Positive
623;623;31;High;No;Yes;Neutral
624;624;28;High;No;Yes;Positive
625;625;30;Medium;No;Yes;Positive
626;626;17;Medium;No;Yes;Negative
627;627;14;High;Yes;Yes;Negative
628;628;19;High;No;Yes;Neutral
629;629;20;Medium;Yes;Yes;Neutral
630;630;27;Medium;Yes;Yes;Positive
631;631;10;Medium;Yes;Yes;Positive
632;632;29;Medium;Yes;Yes;Positive
633;633;19;Medium;Yes;Yes;Neutral
634;634;17;High;Yes;Yes;Positive
635;635;14;Medium;Yes;No;Positive
636;636;10;Medium;No;Yes;Negative
637;637;25;Medium;Yes;Yes;Neutral
638;638;20;Low;Yes;Yes;Neutral
639;639;12;Medium;Yes;Yes;Neutral
640;640;12;Medium;Yes;Yes;Negative
641;641;18;Medium;No;Yes;Positive
642;642;30;Medium;No;Yes;Positive
643;643;18;Medium;Yes;Yes;Negative
644;644;11;Medium;Yes;Yes;Negative
645;645;19;High;No;Yes;Neutral
646;646;18;High;Yes;Yes;Neutral
647;647;4;High;Yes;Yes;Negative
648;648;20;Medium;No;Yes;Neutral
649;649;19;Medium;No;Yes;Neutral
650;650;24;Medium;Yes;Yes;Neutral
651;651;31;High;Yes;Yes;Negative
652;652;27;Medium;No;Yes;Positive
653;653;18;High;Yes;Yes;Positive
654;654;13;Medium;No;Yes;Neutral
655;655;35;Low;Yes;Yes;Positive
656;656;20;Low;Yes;Yes;Positive
657;657;20;High;Yes;Yes;Negative
658;658;20;Medium;No;Yes;Negative
659;659;21;Medium;No;Yes;Positive
660;660;19;High;No;Yes;Negative
661;661;17;Medium;Yes;Yes;Neutral
662;662;17;Low;No;Yes;Neutral
663;663;20;Low;No;Yes;Positive
664;664;17;Medium;Yes;Yes;Positive
665;665;16;Medium;No;Yes;Positive
666;666;21;High;No;Yes;Neutral
667;667;18;Medium;No;Yes;Neutral
668;668;29;High;No;Yes;Positive
669;669;4;Low;No;No;Negative
670;670;27;Medium;No;Yes;Positive
671;671;27;High;Yes;Yes;Positive
672;672;8;Low;No;Yes;Neutral
673;673;18;High;Yes;Yes;Neutral
674;674;18;High;No;Yes;Positive
