"student_id","sleep_hours","motivation_level","physical_activity","learning_desabilities","gender","exam_score","attendance","tutoring_sessions","teacher_quality","school_type","distance_from_home","previous_scores","parental_involvement","family_income","parental_education_level","hours_studied","access_to_resources","extraurricular_activities","internet_access","peer_influence"
6081,8,"Medium",2,"No","Female",75,96,0,"Medium","Private","Near",95,"Medium","High","High School",29,"High","Yes","Yes","Positive"
2575,7,"Medium",3,"No","Female",75,96,1,"High","Public","Moderate",96,"Medium","Low","College",36,"Low","No","Yes","Positive"
6317,9,"High",4,"No","Female",75,82,3,"Medium","Public","Near",87,"Medium","Low","High School",34,"High","Yes","Yes","Positive"
2305,9,"Medium",4,"No","Male",75,95,2,"Medium","Private","Near",58,"Medium","Medium","High School",32,"High","Yes","Yes","Positive"
520,6,"High",3,"No","Male",75,99,0,"Medium","Public","Moderate",97,"High","Medium","College",25,"Medium","Yes","Yes","Positive"
3628,5,"Medium",2,"No","Female",75,93,2,"Medium","Public","Near",63,"High","High","Postgraduate",25,"High","Yes","Yes","Positive"
3193,5,"High",5,"Yes","Female",75,96,1,"High","Public","Moderate",94,"Medium","Medium","High School",34,"Medium","Yes","Yes","Negative"
4238,7,"Medium",4,"No","Female",75,97,5,"Medium","Public","Near",93,"Medium","High","College",18,"High","Yes","Yes","Positive"
394,6,"Medium",3,"No","Male",75,86,3,"Medium","Public","Moderate",66,"High","Medium","College",31,"High","Yes","Yes","Positive"
1220,8,"Medium",4,"No","Male",75,89,2,"High","Private","Moderate",99,"Low","High","College",33,"Medium","No","Yes","Positive"
6366,7,"High",3,"No","Male",75,91,2,"High","Public","Far",94,"Medium","High","High School",31,"High","Yes","Yes","Negative"
6351,7,"Medium",3,"No","Female",75,96,2,"Medium","Public","Moderate",77,"Medium","Medium","High School",37,"Medium","No","Yes","Positive"
562,8,"High",3,"No","Female",75,93,1,"High","Public","Far",93,"Medium","Medium","Postgraduate",32,"Medium","Yes","Yes","Negative"
3881,5,"Low",5,"No","Female",75,97,7,"High","Private","Near",68,"High","Medium","College",22,"Medium","Yes","Yes","Negative"
1411,7,"Low",5,"No","Male",75,91,2,"Medium","Private","Near",98,"High","Low","Postgraduate",28,"Medium","No","Yes","Positive"
1001,7,"Medium",2,"No","Female",75,98,2,"High","Private","Near",86,"High","Medium","High School",28,"Medium","Yes","Yes","Neutral"
5670,6,"Medium",4,"No","Female",75,99,3,"Medium","Public","Near",88,"Medium","Low","High School",28,"Medium","Yes","Yes","Positive"
1452,7,"Low",2,"No","Female",75,100,2,"Medium","Private","Near",68,"High","Medium","Postgraduate",30,"Medium","Yes","Yes","Neutral"
5710,4,"Medium",5,"No","Female",75,96,3,"Medium","Private","Near",59,"High","Low","High School",31,"Medium","Yes","Yes","Neutral"
5583,7,"Low",3,"No","Female",75,91,1,"High","Public","Near",95,"Medium","Medium","College",30,"High","Yes","Yes","Positive"
6533,9,"Medium",4,"No","Female",75,97,2,"Medium","Public","Moderate",92,"Medium","Low","High School",29,"High","Yes","Yes","Positive"
4323,8,"High",2,"Yes","Female",75,86,5,"High","Public","Near",67,"High","High","Postgraduate",27,"Medium","Yes","Yes","Positive"
5847,6,"Medium",4,"No","Female",75,98,2,"Low","Public","Near",94,"Low","Low","Postgraduate",38,"Medium","No","Yes","Negative"
1162,7,"Medium",4,"No","Male",75,98,1,"Medium","Private","Near",79,"Medium","Low","College",34,"High","No","Yes","Neutral"
398,10,"High",6,"No","Female",75,89,3,"Low","Public","Near",97,"Medium","Medium","High School",28,"High","Yes","Yes","Negative"
932,5,"Medium",3,"No","Male",75,95,2,"Medium","Public","Moderate",87,"High","Low","Postgraduate",31,"Medium","Yes","Yes","Neutral"
223,6,"Low",5,"No","Male",75,100,2,"Medium","Private","Near",86,"High","Medium","High School",24,"High","Yes","Yes","Positive"
5977,6,"Medium",4,"No","Female",75,100,0,"Medium","Public","Moderate",75,"High","Low","College",30,"High","No","Yes","Neutral"
5784,7,"Medium",1,"No","Female",75,93,1,"High","Public","Moderate",96,"High","Low","Postgraduate",33,"Medium","No","Yes","Positive"
5291,5,"Low",2,"No","Male",75,98,3,"Medium","Public","Near",88,"Medium","Low","College",29,"High","Yes","Yes","Neutral"
3141,7,"Medium",4,"No","Female",75,99,3,"Medium","Private","Moderate",88,"High","Low","College",25,"Medium","Yes","Yes","Positive"
3554,7,"Medium",2,"No","Female",75,94,1,"High","Public","Near",63,"High","Low","College",35,"Medium","Yes","Yes","Positive"
1257,7,"High",2,"No","Male",75,91,3,"Medium","Private","Near",78,"Medium","Medium","Postgraduate",30,"Medium","Yes","Yes","Positive"
5036,7,"Low",5,"No","Female",75,92,0,"High","Public","Near",68,"High","Medium","College",34,"Medium","No","Yes","Positive"
461,5,"Medium",3,"No","Male",74,97,1,"Medium","Public","Moderate",82,"Medium","Medium","High School",32,"High","No","Yes","Neutral"
5404,7,"High",3,"No","Female",74,90,2,"High","Public","Moderate",76,"High","High","College",21,"High","Yes","Yes","Positive"
6206,5,"Medium",3,"No","Female",74,93,2,"Medium","Public","Near",93,"Medium","Low","Postgraduate",29,"Medium","No","Yes","Positive"
3722,6,"Medium",3,"No","Male",74,89,3,"Medium","Public","Moderate",89,"Medium","High","Postgraduate",30,"Medium","No","Yes","Neutral"
5165,4,"High",2,"No","Female",74,92,3,"Medium","Public","Near",93,"High","High","High School",25,"Medium","No","Yes","Neutral"
6117,8,"Low",4,"No","Male",74,95,1,"Medium","Public","Near",96,"High","Medium","Postgraduate",25,"Medium","Yes","Yes","Neutral"
4834,7,"Medium",3,"No","Female",74,96,1,"Medium","Public","Near",96,"High","Medium","High School",24,"High","Yes","Yes","Negative"
5929,6,"High",4,"No","Female",74,95,2,"Medium","Public","Far",94,"Low","Medium","Postgraduate",27,"High","Yes","Yes","Neutral"
1344,5,"Low",4,"No","Male",74,91,1,"High","Public","Near",75,"Medium","High","College",27,"High","Yes","Yes","Neutral"
5812,8,"High",4,"No","Male",74,96,2,"High","Public","Near",94,"Medium","Low","High School",29,"High","No","No","Negative"
1083,7,"High",2,"No","Male",74,95,5,"Medium","Public","Near",87,"High","Medium","College",18,"Medium","Yes","Yes","Neutral"
6133,5,"Medium",4,"No","Female",74,95,1,"Medium","Private","Near",99,"Medium","Medium","High School",31,"Medium","No","Yes","Neutral"
1522,8,"High",4,"No","Female",74,96,3,"Low","Public","Near",99,"Medium","Low","High School",23,"Medium","Yes","Yes","Positive"
2531,6,"Medium",3,"No","Female",74,89,4,"High","Private","Near",87,"High","Medium","College",23,"High","No","Yes","Neutral"
4472,7,"Medium",2,"No","Male",74,98,1,"High","Private","Near",72,"Medium","Low","College",28,"High","Yes","Yes","Positive"
4148,9,"High",3,"No","Male",74,89,5,"Medium","Private","Near",92,"Medium","Medium","Postgraduate",19,"High","No","Yes","Positive"
2522,6,"High",4,"No","Female",74,86,1,"High","Public","Moderate",88,"High","Low","High School",38,"Medium","No","Yes","Negative"
4128,4,"High",2,"No","Female",74,99,1,"High","Public","Moderate",57,"Medium","High","Postgraduate",31,"Low","Yes","Yes","Neutral"
1494,7,"High",1,"No","Male",74,97,1,"High","Public","Moderate",99,"Medium","Medium","Postgraduate",21,"High","Yes","Yes","Neutral"
5285,5,"Low",4,"No","Female",74,99,2,"Medium","Public","Near",70,"Medium","Medium","High School",30,"Medium","Yes","Yes","Neutral"
3033,6,"Medium",1,"No","Female",74,98,1,"High","Public","Near",77,"High","Low","Postgraduate",23,"High","Yes","Yes","Neutral"
4036,6,"Low",2,"No","Female",74,93,1,"High","Public","Near",94,"High","Medium","High School",26,"High","Yes","Yes","Negative"
4769,7,"Low",3,"No","Male",74,97,2,"Medium","Public","Near",83,"Medium","Low","Postgraduate",26,"Medium","Yes","Yes","Positive"
3942,10,"High",3,"No","Male",74,99,2,"Medium","Public","Near",59,"High","Low","High School",27,"Medium","No","Yes","Positive"
1457,5,"Low",4,"No","Female",74,94,4,"High","Public","Near",71,"High","Medium","College",25,"High","No","Yes","Negative"
4751,7,"Medium",3,"No","Female",74,98,1,"Medium","Public","Far",58,"High","High","Postgraduate",27,"High","No","Yes","Positive"
1454,8,"High",3,"No","Female",74,88,0,"Medium","Private","Near",99,"Medium","Low","College",36,"High","No","Yes","Negative"
5307,8,"High",4,"No","Male",74,98,1,"Medium","Private","Moderate",87,"Medium","Medium","Postgraduate",19,"High","Yes","Yes","Positive"
83,4,"Low",3,"No","Male",74,78,5,"High","Public","Near",93,"High","Medium","College",29,"High","Yes","Yes","Neutral"
2471,9,"Low",2,"No","Male",74,98,4,"Low","Public","Moderate",98,"Low","Low","College",26,"High","Yes","Yes","Positive"
2456,4,"Medium",5,"No","Male",74,94,1,"Medium","Public","Near",95,"Low","Medium","High School",29,"High","Yes","Yes","Positive"
2731,7,"High",3,"No","Male",74,90,2,"Medium","Public","Moderate",86,"Medium","Medium","College",27,"High","No","Yes","Positive"
5948,4,"Low",3,"No","Female",74,100,4,"High","Public","Near",97,"Low","Low","High School",27,"Medium","Yes","Yes","Positive"
6390,5,"High",2,"No","Female",74,94,1,"Medium","Public","Near",85,"High","Medium","College",25,"High","No","Yes","Neutral"
3,7,"Medium",4,"No","Male",74,98,2,"Medium","Public","Near",91,"Medium","Medium","Postgraduate",24,"Medium","Yes","Yes","Neutral"
2370,7,"Medium",4,"No","Female",74,88,3,"Medium","Public","Moderate",90,"Medium","Medium","Postgraduate",27,"Medium","Yes","Yes","Positive"
2838,7,"High",3,"No","Male",74,98,1,"Medium","Public","Near",76,"Medium","Low","College",30,"High","No","Yes","Neutral"
2710,7,"Medium",5,"No","Female",74,100,3,"Medium","Public","Near",87,"Medium","Low","College",29,"Medium","Yes","No","Negative"
1041,7,"Medium",2,"No","Female",74,93,3,"Medium","Private","Moderate",53,"High","Low","Postgraduate",30,"High","Yes","Yes","Negative"
4392,6,"Low",2,"No","Male",74,96,3,"Medium","Public","Near",69,"Low","High","Postgraduate",25,"High","Yes","Yes","Positive"
2324,10,"High",6,"No","Male",74,90,2,"Medium","Private","Near",67,"High","Medium","High School",30,"Medium","No","Yes","Neutral"
3188,5,"Medium",2,"No","Male",74,97,2,"Medium","Public","Near",85,"Low","High",NULL,25,"High","Yes","Yes","Positive"
3216,7,"Medium",3,"No","Male",74,92,3,"High","Public","Near",55,"High","Low","High School",31,"Medium","Yes","Yes","Positive"
1142,9,"Low",3,"No","Female",74,97,3,"High","Public","Near",93,"Medium","Medium","High School",28,"Medium","No","Yes","Neutral"
204,7,"Medium",3,"No","Female",74,96,3,"Medium","Private","Near",68,"Medium","High","College",26,"Medium","Yes","Yes","Positive"
5804,6,"Medium",2,"No","Male",74,93,3,"Medium","Public","Near",80,"High","Medium","High School",31,"Medium","No","Yes","Neutral"
3237,8,"Medium",4,"Yes","Male",74,90,1,"High","Private","Near",91,"High","High","High School",26,"High","Yes","Yes","Neutral"
2665,9,"Medium",3,"No","Male",74,100,4,"High","Private","Near",68,"Medium","High","Postgraduate",23,"Medium","Yes","Yes","Negative"
6284,5,"High",2,"No","Male",74,92,0,"High","Public","Near",84,"High","Medium","Postgraduate",26,"High","No","Yes","Neutral"
5595,4,"Medium",3,"No","Female",74,98,0,"Medium","Public","Near",82,"Medium","High","High School",27,"High","No","Yes","Positive"
3309,5,"Low",2,"No","Female",74,96,3,"High","Private",NULL,96,"Medium","Low","College",31,"Low","No","Yes","Neutral"
2261,7,"Medium",4,"No","Female",74,97,0,"High","Private","Moderate",95,"Medium","Medium","Postgraduate",23,"High","No","Yes","Positive"
2227,7,"Medium",3,"No","Female",74,97,0,"Medium","Public","Near",86,"High","Medium","College",29,"Medium","No","Yes","Positive"
5983,5,"High",3,"No","Male",74,90,0,"High","Public","Moderate",98,"Medium","Medium","College",32,"Medium","Yes","Yes","Neutral"
1173,7,"High",3,"No","Female",74,88,2,"Medium","Public","Near",92,"High","Medium","Postgraduate",21,"High","Yes","Yes","Positive"
2792,8,"Medium",4,"No","Male",74,96,4,"Low","Private","Near",88,"High","Low","Postgraduate",17,"High","Yes","Yes","Positive"
2207,5,"Medium",3,"No","Male",74,82,2,"High","Public","Near",95,"High","Medium","College",29,"High","No","Yes","Neutral"
5585,5,"Medium",3,"No","Male",74,92,0,"High","Private","Near",61,"High","Medium","Postgraduate",27,"High","Yes","Yes","Positive"
5985,6,"High",2,"No","Female",74,97,1,"High","Public","Far",72,"High","Low","High School",30,"Medium","Yes","Yes","Positive"
4622,4,"Low",3,"No","Female",74,85,2,"High","Public","Near",83,"Medium","High","Postgraduate",30,"Medium","No","Yes","Positive"
2201,6,"Medium",3,"No","Male",74,91,2,"High","Public","Near",82,"Medium","Medium","High School",31,"Medium","Yes","Yes","Positive"
6253,5,"Low",2,"No","Male",74,90,1,"High","Public","Moderate",68,"Medium","Low","High School",36,"High","Yes","Yes","Positive"
3385,9,"Low",2,"No","Male",74,99,0,"Medium","Private","Moderate",96,"High","High","College",27,"Medium","No","Yes","Positive"
3389,8,"High",3,"Yes","Female",74,94,6,"Medium","Public","Far",96,"High","Medium","High School",25,"High","No","Yes","Negative"
3395,4,"Medium",2,"No","Female",74,87,2,"Medium","Public","Moderate",91,"High","High","High School",32,"Medium","Yes","Yes","Neutral"
6411,8,"High",4,"No","Female",74,99,5,"Medium","Public","Moderate",95,"Medium","Medium","High School",23,"Medium","No","Yes","Neutral"
6458,7,"High",2,"No","Female",74,100,1,"Medium","Public","Near",74,"Medium","Medium","High School",26,"High","Yes","Yes","Neutral"
5011,6,"Low",2,"Yes","Male",74,100,0,"Low","Public","Near",90,"High","Medium","High School",30,"High","Yes","Yes","Positive"
6406,7,"High",4,"No","Male",74,93,0,"Medium","Public","Near",79,"Medium","Medium","Postgraduate",28,"Medium","No","Yes","Positive"
212,6,"Medium",3,"No","Male",74,89,3,"Medium","Private","Near",89,"Medium","Medium","High School",27,"High","Yes","Yes","Positive"
3444,6,"High",2,"No","Male",74,97,1,"Medium","Private","Near",66,"Medium","Medium","College",30,"High","Yes","Yes","Neutral"
5547,9,"Medium",2,"No","Male",74,87,2,"Low","Private","Moderate",100,"Medium","Medium","Postgraduate",32,"High","Yes","Yes","Neutral"
570,8,"Medium",4,"No","Male",74,94,3,"High","Public","Near",77,"High","Medium","Postgraduate",18,"Medium","Yes","Yes","Positive"
2815,9,"High",2,"No","Male",74,96,0,"Medium","Private","Far",65,"High","Low","High School",31,"High","Yes","Yes","Positive"
3457,7,"Medium",3,"No","Male",74,96,1,"Medium","Public","Near",84,"High","High","College",27,"Low","Yes","Yes","Neutral"
5025,8,"Medium",4,"No","Male",74,97,2,"Medium","Private","Near",60,"Medium","Medium","High School",34,"Medium","No","Yes","Neutral"
6014,6,"Low",3,"No","Female",74,92,4,"Low","Private","Near",99,"High","Low","High School",27,"Medium","Yes","Yes","Positive"
4968,7,"Medium",3,"No","Male",74,100,1,"High","Public","Moderate",67,"High","High","College",27,"Medium","No","Yes","Neutral"
5035,7,"High",3,"No","Male",74,95,1,"High","Public","Near",71,"Medium","Medium","High School",24,"High","Yes","Yes","Positive"
4705,5,"Medium",3,"Yes","Male",74,96,3,"High","Public","Near",86,"Medium","Medium",NULL,23,"High","Yes","Yes","Neutral"
1964,7,"Medium",4,"No","Female",74,93,5,"Medium","Public","Near",96,"Medium","High","Postgraduate",24,"Medium","Yes","No","Negative"
3521,9,"Medium",4,"No","Male",74,97,2,"High","Private","Near",96,"Medium","Medium","College",23,"Medium","Yes","Yes","Neutral"
3528,5,"Medium",3,"No","Male",74,100,4,"Medium","Public","Far",67,"Low","Medium","High School",32,"High","Yes","No","Positive"
3536,7,"Medium",1,"No","Male",74,95,3,"Medium","Public","Moderate",90,"Medium","Medium","High School",30,"Medium","Yes","Yes","Neutral"
365,6,"Medium",4,"No","Male",74,98,1,"Medium","Public","Far",97,"High","Medium","College",24,"Medium","Yes","Yes","Positive"
